Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210618-152,MQ210618,LIB-OdenseNE-LT-580,,"",Summer,"","",Odense NE,2019-08-15,33,2019,,"","","","","","",,,,,,,,,
MQ210618-153,MQ210618,LIB-OdenseNE-LT-583,,"",Summer,"","",Odense NE,2019-08-22,34,2019,,"","","","","","",,,,,,,,,
MQ210618-154,MQ210618,LIB-OdenseNE-LT-586,,"",Summer,"","",Odense NE,2019-08-30,35,2019,,"","","","","","",,,,,,,,,
MQ210618-157,MQ210618,LIB-OdenseNE-LT-595,,"",Summer,"","",Odense NE,2019-09-13,37,2019,,"","","","","","",,,,,,,,,
MQ210618-159,MQ210618,LIB-OdenseNE-LT-601,,"",Fall,"","",Odense NE,2019-09-26,39,2019,,"","","","","","",,,,,,,,,
MQ210618-160,MQ210618,LIB-OdenseNE-LT-604,,"",Fall,"","",Odense NE,2019-10-03,40,2019,,"","","","","","",,,,,,,,,
MQ210618-161,MQ210618,LIB-OdenseNE-LT-607,,"",Fall,"","",Odense NE,2019-10-10,41,2019,,"","","","","","",,,,,,,,,
MQ210618-162,MQ210618,LIB-OdenseNE-LT-610,,"",Fall,"","",Odense NE,2019-10-17,42,2019,,"","","","","","",,,,,,,,,
MQ210618-163,MQ210618,LIB-OdenseNE-LT-613,,"",Fall,"","",Odense NE,2019-10-24,43,2019,,"","","","","","",,,,,,,,,
MQ210618-164,MQ210618,LIB-OdenseNE-LT-616,,"",Fall,"","",Odense NE,2019-10-28,44,2019,,"","","","","","",,,,,,,,,
MQ210618-165,MQ210618,LIB-OdenseNE-LT-619,,"",Fall,"","",Odense NE,2019-11-07,45,2019,,"","","","","","",,,,,,,,,
MQ210618-166,MQ210618,LIB-OdenseNE-LT-622,,"",Fall,"","",Odense NE,2019-11-14,46,2019,,"","","","","","",,,,,,,,,
MQ210618-168,MQ210618,LIB-OdenseNE-LT-628,,"",Fall,"","",Odense NE,2019-11-28,48,2019,,"","","","","","",,,,,,,,,
MQ210618-169,MQ210618,LIB-OdenseNE-LT-631,,"",Fall,"","",Odense NE,2019-12-05,49,2019,,"","","","","","",,,,,,,,,
MQ210618-170,MQ210618,LIB-OdenseNE-LT-634,,"",Fall,"","",Odense NE,2019-12-12,50,2019,,"","","","","","",,,,,,,,,
MQ210618-171,MQ210618,LIB-OdenseNE-LT-637,,"",Winter,"","",Odense NE,2019-12-19,51,2019,,"","","","","","",,,,,,,,,
MQ210618-172,MQ210618,LIB-OdenseNE-LT-640,,"",Winter,"","",Odense NE,2020-01-09,2,2020,,"","","","","","",,,,,,,,,
MQ210618-173,MQ210618,LIB-OdenseNE-LT-643,,"",Winter,"","",Odense NE,2020-01-16,3,2020,,"","","","","","",,,,,,,,,
MQ210618-174,MQ210618,LIB-OdenseNE-LT-646,,"",Winter,"","",Odense NE,2020-01-23,4,2020,,"","","","","","",,,,,,,,,
MQ210618-175,MQ210618,LIB-OdenseNE-LT-649,,"",Winter,"","",Odense NE,2020-01-30,5,2020,,"","","","","","",,,,,,,,,
MQ210618-176,MQ210618,LIB-OdenseNE-LT-652,,"",Winter,"","",Odense NE,2020-02-04,6,2020,,"","","","","","",,,,,,,,,
MQ210618-177,MQ210618,LIB-OdenseNE-LT-655,,"",Winter,"","",Odense NE,2020-02-13,7,2020,,"","","","","","",,,,,,,,,
MQ210618-178,MQ210618,LIB-OdenseNE-LT-658,,"",Winter,"","",Odense NE,2020-02-20,8,2020,,"","","","","","",,,,,,,,,
MQ210618-179,MQ210618,LIB-OdenseNE-LT-661,,"",Winter,"","",Odense NE,2020-02-27,9,2020,,"","","","","","",,,,,,,,,
MQ210618-180,MQ210618,LIB-OdenseNE-LT-664,,"",Winter,"","",Odense NE,2020-02-05,6,2020,,"","","","","","",,,,,,,,,
MQ210618-181,MQ210618,LIB-OdenseNE-LT-667,,"",Spring,"","",Odense NE,2020-05-11,20,2020,,"","","","","","",,,,,,,,,
MQ210618-182,MQ210618,LIB-OdenseNE-LT-670,,"",Spring,"","",Odense NE,2020-05-19,21,2020,,"","","","","","",,,,,,,,,
MQ210618-183,MQ210618,LIB-OdenseNE-LT-673,,"",Spring,"","",Odense NE,2020-05-26,22,2020,,"","","","","","",,,,,,,,,
MQ210618-185,MQ210618,LIB-OdenseNE-LT-679,,"",Spring,"","",Odense NE,2020-06-09,24,2020,,"","","","","","",,,,,,,,,
MQ210618-187,MQ210618,LIB-OdenseNE-LT-685,,"",Summer,"","",Odense NE,2020-06-23,26,2020,,"","","","","","",,,,,,,,,
MQ210618-189,MQ210618,LIB-OdenseNE-LT-691,,"",Summer,"","",Odense NE,2020-07-06,28,2020,,"","","","","","",,,,,,,,,
MQ210618-191,MQ210618,LIB-OdenseNE-LT-697,,"",Summer,"","",Odense NE,2020-07-21,30,2020,,"","","","","","",,,,,,,,,
MQ210618-192,MQ210618,LIB-OdenseNE-LT-703,,"",Summer,"","",Odense NE,2020-07-28,31,2020,,"","","","","","",,,,,,,,,
MQ210618-193,MQ210618,LIB-OdenseNE-LT-706,,"",Summer,"","",Odense NE,2020-08-04,32,2020,,"","","","","","",,,,,,,,,
MQ210618-194,MQ210618,LIB-OdenseNE-LT-709,,"",Summer,"","",Odense NE,2020-08-11,33,2020,,"","","","","","",,,,,,,,,
MQ221101-1,MQ221101,LIB-OdenseNE-LT-715,,"",Summer,"",Activated sludge,Odense NE,2020-08-25,35,2020,,"","","","","","",,,,,,,,,
MQ221101-2,MQ221101,LIB-OdenseNE-LT-718,,"",Summer,"",Activated sludge,Odense NE,2020-09-01,36,2020,,"","","","","","",,,,,,,,,
MQ221101-3,MQ221101,LIB-OdenseNE-LT-721,,"",Summer,"",Activated sludge,Odense NE,2020-09-08,37,2020,,"","","","","","",,,,,,,,,
MQ221101-4,MQ221101,LIB-OdenseNE-LT-724,,"",Fall,"",Activated sludge,Odense NE,2020-09-15,38,2020,,"","","","","","",,,,,,,,,
MQ221101-5,MQ221101,LIB-OdenseNE-LT-727,,"",Fall,"",Activated sludge,Odense NE,2020-09-22,39,2020,,"","","","","","",,,,,,,,,
MQ221101-6,MQ221101,LIB-OdenseNE-LT-730,,"",Fall,"",Activated sludge,Odense NE,2020-09-29,40,2020,,"","","","","","",,,,,,,,,
MQ221101-7,MQ221101,LIB-OdenseNE-LT-733,,"",Fall,"",Activated sludge,Odense NE,2020-10-06,41,2020,,"","","","","","",,,,,,,,,
MQ221101-8,MQ221101,LIB-OdenseNE-LT-736,,"",Fall,"",Activated sludge,Odense NE,2020-10-13,42,2020,,"","","","","","",,,,,,,,,
MQ221101-9,MQ221101,LIB-OdenseNE-LT-739,,"",Fall,"",Activated sludge,Odense NE,2020-10-19,43,2020,,"","","","","","",,,,,,,,,
MQ221101-10,MQ221101,LIB-OdenseNE-LT-742,,"",Fall,"",Activated sludge,Odense NE,2020-10-27,44,2020,,"","","","","","",,,,,,,,,
MQ221101-11,MQ221101,LIB-OdenseNE-LT-745,,"",Fall,"",Activated sludge,Odense NE,2020-11-03,45,2020,,"","","","","","",,,,,,,,,
MQ221101-12,MQ221101,LIB-OdenseNE-LT-748,,"",Fall,"",Activated sludge,Odense NE,2020-11-10,46,2020,,"","","","","","",,,,,,,,,
MQ221101-13,MQ221101,LIB-OdenseNE-LT-751,,"",Fall,"",Activated sludge,Odense NE,2020-11-17,47,2020,,"","","","","","",,,,,,,,,
MQ221101-14,MQ221101,LIB-OdenseNE-LT-754,,"",Fall,"",Activated sludge,Odense NE,2020-11-26,48,2020,,"","","","","","",,,,,,,,,
MQ221101-15,MQ221101,LIB-OdenseNE-LT-757,,"",Fall,"",Activated sludge,Odense NE,2020-12-01,49,2020,,"","","","","","",,,,,,,,,
MQ221101-16,MQ221101,LIB-OdenseNE-LT-760,,"",Fall,"",Activated sludge,Odense NE,2020-12-08,50,2020,,"","","","","","",,,,,,,,,
MQ221101-17,MQ221101,LIB-OdenseNE-LT-763,,"",Winter,"",Activated sludge,Odense NE,2020-12-15,51,2020,,"","","","","","",,,,,,,,,
MQ221101-18,MQ221101,LIB-OdenseNE-LT-766,,"",Winter,"",Activated sludge,Odense NE,2020-12-22,52,2020,,"","","","","","",,,,,,,,,
MQ221101-19,MQ221101,LIB-OdenseNE-LT-769,,"",Winter,"",Activated sludge,Odense NE,2021-01-05,1,2021,,"","","","","","",,,,,,,,,
MQ221101-20,MQ221101,LIB-OdenseNE-LT-772,,"",Winter,"",Activated sludge,Odense NE,2021-01-12,2,2021,,"","","","","","",,,,,,,,,
MQ221101-21,MQ221101,LIB-OdenseNE-LT-775,,"",Winter,"",Activated sludge,Odense NE,2021-01-19,3,2021,,"","","","","","",,,,,,,,,
MQ221101-22,MQ221101,LIB-OdenseNE-LT-778,,"",Winter,"",Activated sludge,Odense NE,2021-01-28,4,2021,,"","","","","","",,,,,,,,,
MQ221101-23,MQ221101,LIB-OdenseNE-LT-780,,"",Winter,"",Activated sludge,Odense NE,2021-02-02,5,2021,,"","","","","","",,,,,,,,,
MQ221101-24,MQ221101,LIB-OdenseNE-LT-782,,"",Winter,"",Activated sludge,Odense NE,2021-02-12,6,2021,,"","","","","","",,,,,,,,,
MQ221101-25,MQ221101,LIB-OdenseNE-LT-784,,"",Winter,"",Activated sludge,Odense NE,2021-02-18,7,2021,,"","","","","","",,,,,,,,,
MQ221101-26,MQ221101,LIB-OdenseNE-LT-787,,"",Winter,"",Activated sludge,Odense NE,2021-02-22,8,2021,,"","","","","","",,,,,,,,,
MQ221101-27,MQ221101,LIB-OdenseNE-LT-790,,"",Winter,"",Activated sludge,Odense NE,2021-03-02,9,2021,,"","","","","","",,,,,,,,,
MQ221101-28,MQ221101,LIB-OdenseNE-LT-792,,"",Spring,"",Activated sludge,Odense NE,2021-03-16,11,2021,,"","","","","","",,,,,,,,,
MQ221101-29,MQ221101,LIB-OdenseNE-LT-794,,"",Spring,"",Activated sludge,Odense NE,2021-03-23,12,2021,,"","","","","","",,,,,,,,,
MQ221101-30,MQ221101,LIB-OdenseNE-LT-796,,"",Spring,"",Activated sludge,Odense NE,2021-04-14,15,2021,,"","","","","","",,,,,,,,,
MQ221101-31,MQ221101,LIB-OdenseNE-LT-798,,"",Spring,"",Activated sludge,Odense NE,2020-04-20,17,2020,,"","","","","","",,,,,,,,,
MQ221101-32,MQ221101,LIB-OdenseNE-LT-800,,"",Spring,"",Activated sludge,Odense NE,2021-04-27,17,2021,,"","","","","","",,,,,,,,,
MQ221101-33,MQ221101,LIB-OdenseNE-LT-802,,"",Spring,"",Activated sludge,Odense NE,2021-05-04,18,2021,,"","","","","","",,,,,,,,,
MQ221101-34,MQ221101,LIB-OdenseNE-LT-804,,"",Spring,"",Activated sludge,Odense NE,2021-05-11,19,2021,,"","","","","","",,,,,,,,,
MQ221101-35,MQ221101,LIB-OdenseNE-LT-806,,"",Spring,"",Activated sludge,Odense NE,2021-05-18,20,2021,,"","","","","","",,,,,,,,,
MQ221101-36,MQ221101,LIB-OdenseNE-LT-808,,"",Spring,"",Activated sludge,Odense NE,2021-05-25,21,2021,,"","","","","","",,,,,,,,,
MQ221101-37,MQ221101,LIB-OdenseNE-LT-810,,"",Spring,"",Activated sludge,Odense NE,2021-06-01,22,2021,,"","","","","","",,,,,,,,,
MQ221101-38,MQ221101,LIB-OdenseNE-LT-812,,"",Spring,"",Activated sludge,Odense NE,2021-06-08,23,2021,,"","","","","","",,,,,,,,,
MQ221101-39,MQ221101,LIB-OdenseNE-LT-814,,"",Summer,"",Activated sludge,Odense NE,2021-06-16,24,2021,,"","","","","","",,,,,,,,,
MQ221101-40,MQ221101,LIB-OdenseNE-LT-816,,"",Summer,"",Activated sludge,Odense NE,2021-06-22,25,2021,,"","","","","","",,,,,,,,,
MQ221101-41,MQ221101,LIB-OdenseNE-LT-818,,"",Summer,"",Activated sludge,Odense NE,2021-07-02,26,2021,,"","","","","","",,,,,,,,,
MQ221101-42,MQ221101,LIB-OdenseNE-LT-820,,"",Summer,"",Activated sludge,Odense NE,2021-07-08,27,2021,,"","","","","","",,,,,,,,,
MQ221101-43,MQ221101,LIB-OdenseNE-LT-822,,"",Summer,"",Activated sludge,Odense NE,2021-07-20,29,2021,,"","","","","","",,,,,,,,,
MQ221101-44,MQ221101,LIB-OdenseNE-LT-824,,"",Summer,"",Activated sludge,Odense NE,2021-07-29,30,2021,,"","","","","","",,,,,,,,,
