Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201030-117,MQ201030,LIB-Ejby-Molle-LT-616,,"","","",Ejby Mølle,2019-10-29,44,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-118,MQ201030,LIB-Ejby-Molle-LT-619,,"","","",Ejby Mølle,2019-11-07,45,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-119,MQ201030,LIB-Ejby-Molle-LT-622,,"","","",Ejby Mølle,2019-11-12,46,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-120,MQ201030,LIB-Ejby-Molle-LT-625,,"","","",Ejby Mølle,2019-11-19,47,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-121,MQ201030,LIB-Ejby-Molle-LT-628,,"","","",Ejby Mølle,2019-11-21,47,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-122,MQ201030,LIB-Ejby-Molle-LT-631,,"","","",Ejby Mølle,2019-11-28,48,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-123,MQ201030,LIB-Ejby-Molle-LT-634,,"","","",Ejby Mølle,2019-12-03,49,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-124,MQ201030,LIB-Ejby-Molle-LT-637,,"","","",Ejby Mølle,2019-12-13,50,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-125,MQ201030,LIB-Ejby-Molle-LT-640,,"","","",Ejby Mølle,2019-12-20,51,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-126,MQ201030,LIB-Ejby-Molle-LT-643,,"","","",Ejby Mølle,2020-01-08,2,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-127,MQ201030,LIB-Ejby-Molle-LT-636,,"","","",Ejby Mølle,2020-01-16,3,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-128,MQ201030,LIB-Ejby-Molle-LT-649,,"","","",Ejby Mølle,2020-01-21,4,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-129,MQ201030,LIB-Ejby-Molle-LT-652,,"","","",Ejby Mølle,2020-01-30,5,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-130,MQ201030,LIB-Ejby-Molle-LT-655,,"","","",Ejby Mølle,2020-01-31,5,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-131,MQ201030,LIB-Ejby-Molle-LT-658,,"","","",Ejby Mølle,2020-02-07,6,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-132,MQ201030,LIB-Ejby-Molle-LT-661,,"","","",Ejby Mølle,2020-02-11,7,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-133,MQ201030,LIB-Ejby-Molle-LT-664,,"","","",Ejby Mølle,2020-02-19,8,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-134,MQ201030,LIB-Ejby-Molle-LT-667,,"","","",Ejby Mølle,2020-02-26,9,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-135,MQ201030,LIB-Ejby-Molle-LT-670,,"","","",Ejby Mølle,2020-03-03,10,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-136,MQ201030,LIB-Ejby-Molle-LT-673,,"","","",Ejby Mølle,2020-03-10,11,2020,Winter,"","","","","","",,,,,,,,,
MQ201030-137,MQ201030,LIB-Ejby-Molle-LT-676,,"","","",Ejby Mølle,2020-05-11,20,2020,Spring,"","","","","","",,,,,,,,,
MQ201030-138,MQ201030,LIB-Ejby-Molle-LT-679,,"","","",Ejby Mølle,2020-05-19,21,2020,Spring,"","","","","","",,,,,,,,,
MQ201030-139,MQ201030,LIB-Ejby-Molle-LT-682,,"","","",Ejby Mølle,2020-05-26,22,2020,Spring,"","","","","","",,,,,,,,,
MQ201030-140,MQ201030,LIB-Ejby-Molle-LT-685,,"","","",Ejby Mølle,2020-06-02,23,2020,Spring,"","","","","","",,,,,,,,,
MQ201030-141,MQ201030,LIB-Ejby-Molle-LT-688,,"","","",Ejby Mølle,2020-06-09,24,2020,Spring,"","","","","","",,,,,,,,,
MQ201030-142,MQ201030,LIB-Ejby-Molle-LT-691,,"","","",Ejby Mølle,2020-06-16,25,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-143,MQ201030,LIB-Ejby-Molle-LT-694,,"","","",Ejby Mølle,2020-06-23,26,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-144,MQ201030,LIB-Ejby-Molle-LT-697,,"","","",Ejby Mølle,2020-06-30,27,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-145,MQ201030,LIB-Ejby-Molle-LT-700,,"","","",Ejby Mølle,2020-07-06,28,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-146,MQ201030,LIB-Ejby-Molle-LT-703,,"","","",Ejby Mølle,2020-07-14,29,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-147,MQ201030,LIB-Ejby-Molle-LT-706,,"","","",Ejby Mølle,2020-07-21,30,2020,Summer,"","","","","","",,,,,,,,,
