Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210618-71,MQ210618,LIB-Damhusaaen-LT-D-142,,"",Fall,D,"",Damhusåen-D,2020-09-28,40,2020,,"","","","","","",,,,,,,,,
MQ210618-72,MQ210618,LIB-Damhusaaen-LT-D-144,,"",Fall,D,"",Damhusåen-D,2020-10-09,41,2020,,"","","","","","",,,,,,,,,
MQ210618-73,MQ210618,LIB-Damhusaaen-LT-D-146,,"",Fall,D,"",Damhusåen-D,2020-10-14,42,2020,,"","","","","","",,,,,,,,,
MQ210618-74,MQ210618,LIB-Damhusaaen-LT-D-148,,"",Fall,D,"",Damhusåen-D,2020-10-23,43,2020,,"","","","","","",,,,,,,,,
MQ210618-75,MQ210618,LIB-Damhusaaen-LT-D-150,,"",Fall,D,"",Damhusåen-D,2020-10-28,44,2020,,"","","","","","",,,,,,,,,
MQ210618-76,MQ210618,LIB-Damhusaaen-LT-D-152,,"",Fall,D,"",Damhusåen-D,2020-11-04,45,2020,,"","","","","","",,,,,,,,,
MQ210618-78,MQ210618,LIB-Damhusaaen-LT-D-156,,"",Fall,D,"",Damhusåen-D,2020-11-18,47,2020,,"","","","","","",,,,,,,,,
MQ210618-79,MQ210618,LIB-Damhusaaen-LT-D-158,,"",Fall,D,"",Damhusåen-D,2020-12-01,49,2020,,"","","","","","",,,,,,,,,
MQ210618-80,MQ210618,LIB-Damhusaaen-LT-D-160,,"",Fall,D,"",Damhusåen-D,2020-12-10,50,2020,,"","","","","","",,,,,,,,,
MQ210618-81,MQ210618,LIB-Damhusaaen-LT-D-163,,"",Winter,D,"",Damhusåen-D,2020-12-17,51,2020,,"","","","","","",,,,,,,,,
MQ210618-82,MQ210618,LIB-Damhusaaen-LT-D-165,,"",Winter,D,"",Damhusåen-D,2020-12-21,52,2020,,"","","","","","",,,,,,,,,
MQ181023-52,MQ181023,LIB-BB-Dam-D-20170906,,Dam-D-20170906,Summer,D,mean,Damhusåen-D,2017-09-06,36,2017,,"","","","","","",,,,,,,14.97080121,6.521640914,
MQ181023-53,MQ181023,LIB-BB-Dam-D-20170920,,Dam-D-20170920,Fall,D,mean,Damhusåen-D,2017-09-20,38,2017,,"","","","","","",,,,,,,14.82480729,4.969729827,
MQ181023-54,MQ181023,LIB-BB-Dam-D-20171004,,Dam-D-20171004,Fall,D,mean,Damhusåen-D,2017-10-04,40,2017,,"","","","","","",,,,,,,14.86802149,8.240715641,
MQ181023-55,MQ181023,LIB-BB-Dam-D-20171020,,Dam-D-20171020,Fall,D,mean,Damhusåen-D,2017-10-20,42,2017,,"","","","","","",,,,,,,23.53772483,7.138339207,
MQ181023-56,MQ181023,LIB-BB-Dam-D-20171101,,Dam-D-20171101,Fall,D,mean,Damhusåen-D,2017-11-01,44,2017,,"","","","","","",,,,,,,16.79864518,6.567949761,
MQ181023-57,MQ181023,LIB-BB-Dam-D-20171117,,Dam-D-20171117,Fall,D,mean,Damhusåen-D,2017-11-17,46,2017,,"","","","","","",,,,,,,21.46344312,7.478313906,
MQ181023-58,MQ181023,LIB-BB-Dam-D-20171206,,Dam-D-20171206,Fall,D,mean,Damhusåen-D,2017-12-06,49,2017,,"","","","","","",,,,,,,22.1058164,8.065645613,
MQ181023-59,MQ181023,LIB-BB-Dam-D-20171221,,Dam-D-20171221,Winter,D,mean,Damhusåen-D,2017-12-21,51,2017,,"","","","","","",,,,,,,20.11095538,7.547212433,
MQ181023-60,MQ181023,LIB-BB-Dam-D-20180108,,Dam-D-20180108,Winter,D,mean,Damhusåen-D,2018-01-08,2,2018,,"","","","","","",,,,,,,11.59542163,7.193683925,
MQ181023-61,MQ181023,LIB-BB-Dam-D-20180119,,Dam-D-20180119,Winter,D,mean,Damhusåen-D,2018-01-19,3,2018,,"","","","","","",,,,,,,12.06143424,6.041610192,
MQ181023-62,MQ181023,LIB-BB-Dam-D-20180202,,Dam-D-20180202,Winter,D,mean,Damhusåen-D,2018-02-02,5,2018,,"","","","","","",,,,,,,14.46274235,5.804418542,
MQ181023-63,MQ181023,LIB-BB-Dam-D-20180208,,Dam-D-20180208,Winter,D,mean,Damhusåen-D,2018-02-08,6,2018,,"","","","","","",,,,,,,14.99182434,6.613129123,
MQ181023-64,MQ181023,LIB-BB-Dam-D-20180219,,Dam-D-20180219,Winter,D,mean,Damhusåen-D,2018-02-19,8,2018,,"","","","","","",,,,,,,13.30413455,6.290096684,
MQ181023-65,MQ181023,LIB-BB-Dam-D-20180226,,Dam-D-20180226,Winter,D,mean,Damhusåen-D,2018-02-26,9,2018,,"","","","","","",,,,,,,12.60920346,5.804418542,
MQ181023-66,MQ181023,LIB-BB-Dam-D-20180305,,Dam-D-20180305,Winter,D,mean,Damhusåen-D,2018-03-05,10,2018,,"","","","","","",,,,,,,16.56388694,5.833785127,
MQ181023-98,MQ181023,LIB-BB-Dam-D-20180913,,Dam-D-20180913,Summer,D,mean,Damhusåen-D,2018-09-13,37,2018,,"","","","","","",,,,,,,15.33286615,8.95680853,
MQ181023-99,MQ181023,LIB-BB-Dam-D-20180919,,Dam-D-20180919,Fall,D,mean,Damhusåen-D,2018-09-19,38,2018,,"","","","","","",,,,,,,22.50875964,6.055164001,
MQ181023-100,MQ181023,LIB-BB-Dam-D-20180921,,Dam-D-20180921,Fall,D,mean,Damhusåen-D,2018-09-21,38,2018,,"","","","","","",,,,,,,9.507124504,7.333739948,
MQ190919-218,MQ190919,LIB-Damhusaen-LT-D-123,,"",Fall,D,mean,Damhusåen-D,2018-09-28,39,2018,,"","","","","","",,,,,,,,,
MQ190919-219,MQ190919,LIB-Damhusaen-LT-D-124,,"",Fall,D,mean,Damhusåen-D,2018-10-02,40,2018,,"","","","","","",,,,,,,,,
MQ190919-220,MQ190919,LIB-Damhusaen-LT-D-125,,"",Fall,D,mean,Damhusåen-D,2018-10-04,40,2018,,"","","","","","",,,,,,,,,
