Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210129-54,MQ210129,LIB-Hirtshals-LT-519,,"",Summer,"","",Hirtshals,2019-07-23,30,2019,,"","","","","","",,,,,,,,,
MQ210129-55,MQ210129,LIB-Hirtshals-LT-523,,"",Summer,"","",Hirtshals,2019-09-06,36,2019,,"","","","","","",,,,,,,,,
MQ210129-56,MQ210129,LIB-Hirtshals-LT-527,,"",Fall,"","",Hirtshals,2019-09-23,39,2019,,"","","","","","",,,,,,,,,
MQ210129-57,MQ210129,LIB-Hirtshals-LT-531,,"",Fall,"","",Hirtshals,2019-10-09,41,2019,,"","","","","","",,,,,,,,,
MQ210129-58,MQ210129,LIB-Hirtshals-LT-535,,"",Fall,"","",Hirtshals,2019-10-24,43,2019,,"","","","","","",,,,,,,,,
MQ210129-59,MQ210129,LIB-Hirtshals-LT-539,,"",Fall,"","",Hirtshals,2019-11-11,46,2019,,"","","","","","",,,,,,,,,
MQ210129-60,MQ210129,LIB-Hirtshals-LT-543,,"",Fall,"","",Hirtshals,2019-11-20,47,2019,,"","","","","","",,,,,,,,,
MQ210129-61,MQ210129,LIB-Hirtshals-LT-547,,"",Fall,"","",Hirtshals,2019-12-02,49,2019,,"","","","","","",,,,,,,,,
MQ210129-62,MQ210129,LIB-Hirtshals-LT-551,,"",Fall,"","",Hirtshals,2019-12-12,50,2019,,"","","","","","",,,,,,,,,
MQ210129-63,MQ210129,LIB-Hirtshals-LT-555,,"",Winter,"","",Hirtshals,2019-12-19,51,2019,,"","","","","","",,,,,,,,,
MQ210129-64,MQ210129,LIB-Hirtshals-LT-559,,"",Winter,"","",Hirtshals,2020-01-08,2,2020,,"","","","","","",,,,,,,,,
MQ210129-65,MQ210129,LIB-Hirtshals-LT-563,,"",Winter,"","",Hirtshals,2020-01-29,5,2020,,"","","","","","",,,,,,,,,
MQ210129-66,MQ210129,LIB-Hirtshals-LT-567,,"",Winter,"","",Hirtshals,2020-02-07,6,2020,,"","","","","","",,,,,,,,,
MQ210129-67,MQ210129,LIB-Hirtshals-LT-571,,"",Winter,"","",Hirtshals,2020-02-20,8,2020,,"","","","","","",,,,,,,,,
MQ210129-68,MQ210129,LIB-Hirtshals-LT-575,,"",Winter,"","",Hirtshals,2020-03-05,10,2020,,"","","","","","",,,,,,,,,
MQ210129-69,MQ210129,LIB-Hirtshals-LT-579,,"",Spring,"","",Hirtshals,2020-03-23,13,2020,,"","","","","","",,,,,,,,,
MQ210129-70,MQ210129,LIB-Hirtshals-LT-583,,"",Spring,"","",Hirtshals,2020-04-08,15,2020,,"","","","","","",,,,,,,,,
MQ210129-71,MQ210129,LIB-Hirtshals-LT-587,,"",Spring,"","",Hirtshals,2020-04-22,17,2020,,"","","","","","",,,,,,,,,
MQ210129-72,MQ210129,LIB-Hirtshals-LT-591,,"",Spring,"","",Hirtshals,2020-05-06,19,2020,,"","","","","","",,,,,,,,,
MQ210129-73,MQ210129,LIB-Hirtshals-LT-595,,"",Spring,"","",Hirtshals,2020-05-27,22,2020,,"","","","","","",,,,,,,,,
MQ210129-74,MQ210129,LIB-Hirtshals-LT-599,,"",Spring,"","",Hirtshals,2020-06-10,24,2020,,"","","","","","",,,,,,,,,
MQ210129-75,MQ210129,LIB-Hirtshals-LT-603,,"",Summer,"","",Hirtshals,2020-06-29,27,2020,,"","","","","","",,,,,,,,,
MQ210129-76,MQ210129,LIB-Hirtshals-LT-607,,"",Summer,"","",Hirtshals,2020-07-02,27,2020,,"","","","","","",,,,,,,,,
MQ210129-77,MQ210129,LIB-Hirtshals-LT-611,,"",Summer,"","",Hirtshals,2020-07-21,30,2020,,"","","","","","",,,,,,,,,
MQ210129-78,MQ210129,LIB-Hirtshals-LT-615,,"",Summer,"","",Hirtshals,2020-08-06,32,2020,,"","","","","","",,,,,,,,,
MQ210129-79,MQ210129,LIB-Hirtshals-LT-619,,"",Summer,"","",Hirtshals,2020-08-14,33,2020,,"","","","","","",,,,,,,,,
MQ221128-42,MQ221128,LIB-Hirtshals-LT-623,,"",Summer,"",Activated sludge,Hirtshals,2020-08-20,34,2020,,"","","","","","",,,,,,,,,
MQ221128-43,MQ221128,LIB-Hirtshals-LT-627,,"",Fall,"",Activated sludge,Hirtshals,2020-10-26,44,2020,,"","","","","","",,,,,,,,,
MQ221128-44,MQ221128,LIB-Hirtshals-LT-631,,"",Fall,"",Activated sludge,Hirtshals,2020-10-29,44,2020,,"","","","","","",,,,,,,,,
MQ221128-45,MQ221128,LIB-Hirtshals-LT-635,,"",Fall,"",Activated sludge,Hirtshals,2020-11-09,46,2020,,"","","","","","",,,,,,,,,
MQ221128-46,MQ221128,LIB-Hirtshals-LT-639,,"",Fall,"",Activated sludge,Hirtshals,2020-11-12,46,2020,,"","","","","","",,,,,,,,,
MQ221128-47,MQ221128,LIB-Hirtshals-LT-643,,"",Fall,"",Activated sludge,Hirtshals,2020-11-16,47,2020,,"","","","","","",,,,,,,,,
MQ221128-48,MQ221128,LIB-Hirtshals-LT-647,,"",Fall,"",Activated sludge,Hirtshals,2020-11-25,48,2020,,"","","","","","",,,,,,,,,
MQ221128-49,MQ221128,LIB-Hirtshals-LT-651,,"",Fall,"",Activated sludge,Hirtshals,2020-11-30,49,2020,,"","","","","","",,,,,,,,,
MQ221128-50,MQ221128,LIB-Hirtshals-LT-655,,"",Fall,"",Activated sludge,Hirtshals,2020-12-03,49,2020,,"","","","","","",,,,,,,,,
