Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201118-93,MQ201118,LIB-Randers-LT-576,,"","","",Randers,2018-12-19,51,2018,Winter,"","","","","","",,,,,,,,,
MQ201118-94,MQ201118,LIB-Randers-LT-578,,"","","",Randers,2018-12-27,52,2018,Winter,"","","","","","",,,,,,,,,
MQ201118-95,MQ201118,LIB-Randers-LT-580,,"","","",Randers,2019-01-03,1,2019,Winter,"","","","","","",,,,,,,,,
MQ201118-96,MQ201118,LIB-Randers-LT-582,,"","","",Randers,2019-01-08,2,2019,Winter,"","","","","","",,,,,,,,,
MQ211213-101,MQ211213,LIB-Randers-LT-753,,"","","",Randers,2020-08-18,34,2020,Summer,"","","","","","",,,,,,,,,
MQ211213-102,MQ211213,LIB-Randers-LT-755,,"","","",Randers,2020-08-27,35,2020,Summer,"","","","","","",,,,,,,,,
MQ211213-103,MQ211213,LIB-Randers-LT-757,,"","","",Randers,2020-09-01,36,2020,Summer,"","","","","","",,,,,,,,,
MQ211213-104,MQ211213,LIB-Randers-LT-759,,"","","",Randers,2020-09-11,37,2020,Summer,"","","","","","",,,,,,,,,
MQ211213-105,MQ211213,LIB-Randers-LT-761,,"","","",Randers,2020-09-15,38,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-106,MQ211213,LIB-Randers-LT-763,,"","","",Randers,2020-09-21,39,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-107,MQ211213,LIB-Randers-LT-765,,"","","",Randers,2020-09-28,40,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-108,MQ211213,LIB-Randers-LT-767,,"","","",Randers,2020-10-05,41,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-109,MQ211213,LIB-Randers-LT-768,,"","","",Randers,2020-10-14,42,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-110,MQ211213,LIB-Randers-LT-770,,"","","",Randers,2020-10-19,43,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-111,MQ211213,LIB-Randers-LT-772,,"","","",Randers,2020-10-26,44,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-112,MQ211213,LIB-Randers-LT-774,,"","","",Randers,2020-11-04,45,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-113,MQ211213,LIB-Randers-LT-776,,"","","",Randers,2020-11-09,46,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-114,MQ211213,LIB-Randers-LT-778,,"","","",Randers,2020-11-16,47,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-115,MQ211213,LIB-Randers-LT-780,,"","","",Randers,2020-11-26,48,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-116,MQ211213,LIB-Randers-LT-782,,"","","",Randers,2020-12-04,49,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-117,MQ211213,LIB-Randers-LT-784,,"","","",Randers,2020-12-07,50,2020,Fall,"","","","","","",,,,,,,,,
MQ211213-118,MQ211213,LIB-Randers-LT-786,,"","","",Randers,2020-12-16,51,2020,Winter,"","","","","","",,,,,,,,,
MQ211213-119,MQ211213,LIB-Randers-LT-788,,"","","",Randers,2020-12-21,52,2020,Winter,"","","","","","",,,,,,,,,
MQ211213-120,MQ211213,LIB-Randers-LT-790,,"","","",Randers,2020-12-29,53,2020,Winter,"","","","","","",,,,,,,,,
MQ211213-121,MQ211213,LIB-Randers-LT-792,,"","","",Randers,2021-01-06,1,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-122,MQ211213,LIB-Randers-LT-794,,"","","",Randers,2021-01-14,2,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-123,MQ211213,LIB-Randers-LT-796,,"","","",Randers,2021-01-18,3,2021,Winter,"","","","","","",,,,,,,,,
