Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ210618-25,MQ210618,LIB-Damhusaaen-LT-A-160,,"",Fall,A,AS,"",Damhusåen-A,2020-12-10,50,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-26,MQ210618,LIB-Damhusaaen-LT-A-163,,"",Winter,A,AS,"",Damhusåen-A,2020-12-17,51,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-27,MQ210618,LIB-Damhusaaen-LT-A-165,,"",Winter,A,AS,"",Damhusåen-A,2020-12-21,52,2020,,"","","","","","",,,,,,,,,,,"",,
MQ181023-1,MQ181023,LIB-BB-Dam-A-20170906,,Dam-A-20170906,Summer,A,AS,mean,Damhusåen-A,2017-09-06,36,2017,,"","","","","","",,,,,,,15.71291324,15.88364727,,,"",,
MQ181023-2,MQ181023,LIB-BB-Dam-A-20170920,,Dam-A-20170920,Fall,A,AS,mean,Damhusåen-A,2017-09-20,38,2017,,"","","","","","",,,,,,,22.4343499,10.78777474,,,"",,
MQ181023-3,MQ181023,LIB-BB-Dam-A-20171004,,Dam-A-20171004,Fall,A,AS,mean,Damhusåen-A,2017-10-04,40,2017,,"","","","","","",,,,,,,15.36064443,13.48864763,,,"",,
MQ181023-4,MQ181023,LIB-BB-Dam-A-20171020,,Dam-A-20171020,Fall,A,AS,mean,Damhusåen-A,2017-10-20,42,2017,,"","","","","","",,,,,,,21.78277578,16.27052252,,,"",,
MQ181023-5,MQ181023,LIB-BB-Dam-A-20171101,,Dam-A-20171101,Fall,A,AS,mean,Damhusåen-A,2017-11-01,44,2017,,"","","","","","",,,,,,,16.78573188,14.44011896,,,"",,
MQ181023-6,MQ181023,LIB-BB-Dam-A-20171117,,Dam-A-20171117,Fall,A,AS,mean,Damhusåen-A,2017-11-17,46,2017,,"","","","","","",,,,,,,15.60452284,11.0767222,,,"",,
MQ181023-7,MQ181023,LIB-BB-Dam-A-20171206,,Dam-A-20171206,Fall,A,AS,mean,Damhusåen-A,2017-12-06,49,2017,,"","","","","","",,,,,,,11.9796029,13.90937447,,,"",,
MQ181023-8,MQ181023,LIB-BB-Dam-A-20171221,,Dam-A-20171221,Winter,A,AS,mean,Damhusåen-A,2017-12-21,51,2017,,"","","","","","",,,,,,,14.42700892,11.06463235,,,"",,
MQ181023-9,MQ181023,LIB-BB-Dam-A-20180108,,Dam-A-20180108,Winter,A,AS,mean,Damhusåen-A,2018-01-08,2,2018,,"","","","","","",,,,,,,20.95383554,15.69625456,,,"",,
MQ181023-10,MQ181023,LIB-BB-Dam-A-20180119,,Dam-A-20180119,Winter,A,AS,mean,Damhusåen-A,2018-01-19,3,2018,,"","","","","","",,,,,,,18.73922255,12.78018231,,,"",,
MQ181023-11,MQ181023,LIB-BB-Dam-A-20180202,,Dam-A-20180202,Winter,A,AS,mean,Damhusåen-A,2018-02-02,5,2018,,"","","","","","",,,,,,,18.58772232,10.06721958,,,"",,
MQ181023-12,MQ181023,LIB-BB-Dam-A-20180208,,Dam-A-20180208,Winter,A,AS,mean,Damhusåen-A,2018-02-08,6,2018,,"","","","","","",,,,,,,19.42774794,14.53441981,,,"",,
MQ181023-13,MQ181023,LIB-BB-Dam-A-20180219,,Dam-A-20180219,Winter,A,AS,mean,Damhusåen-A,2018-02-19,8,2018,,"","","","","","",,,,,,,12.69153077,16.04565128,,,"",,
MQ181023-14,MQ181023,LIB-BB-Dam-A-20180226,,Dam-A-20180226,Winter,A,AS,mean,Damhusåen-A,2018-02-26,9,2018,,"","","","","","",,,,,,,17.55924521,8.241651957,,,"",,
MQ181023-15,MQ181023,LIB-BB-Dam-A-20180305,,Dam-A-20180305,Winter,A,AS,mean,Damhusåen-A,2018-03-05,10,2018,,"","","","","","",,,,,,,10.7515889,11.47326934,,,"",,
MQ181023-48,MQ181023,LIB-BB-Dam-A-20180919,,Dam-A-20180919,Fall,A,AS,mean,Damhusåen-A,2018-09-19,38,2018,,"","","","","","",,,,,,,39.0193132,2.809681553,,,"",,
MQ181023-49,MQ181023,LIB-BB-Dam-A-20180921,,Dam-A-20180921,Fall,A,AS,mean,Damhusåen-A,2018-09-21,38,2018,,"","","","","","",,,,,,,13.8715081,5.751142491,,,"",,
MQ190919-1,MQ190919,LIB-Damhusaen-LT-A-121,,"",Fall,A,AS,mean,Damhusåen-A,2018-09-28,39,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-2,MQ190919,LIB-Damhusaen-LT-A-122_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-02,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-3,MQ190919,LIB-Damhusaen-LT-A-123,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-04,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-4,MQ190919,LIB-Damhusaen-LT-A-124_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-11,41,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-5,MQ190919,LIB-Damhusaen-LT-A-125,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-16,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-6,MQ190919,LIB-Damhusaen-LT-A-126_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-18,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-7,MQ190919,LIB-Damhusaen-LT-A-127,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-22,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-8,MQ190919,LIB-Damhusaen-LT-A-128_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-26,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-9,MQ190919,LIB-Damhusaen-LT-A-129,,"",Fall,A,AS,mean,Damhusåen-A,2018-10-30,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-10,MQ190919,LIB-Damhusaen-LT-A-130_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-01,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-11,MQ190919,LIB-Damhusaen-LT-A-131,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-08,45,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-12,MQ190919,LIB-Damhusaen-LT-A-132_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-12,46,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-13,MQ190919,LIB-Damhusaen-LT-A-133,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-15,46,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-14,MQ190919,LIB-Damhusaen-LT-A-134_Biofos,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-20,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-15,MQ190919,LIB-Damhusaen-LT-A-135,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-22,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-16,MQ190919,LIB-Damhusaen-LT-A-136,,"",Fall,A,AS,mean,Damhusåen-A,2018-11-27,48,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-17,MQ190919,LIB-Damhusaen-LT-A-137,,"",Fall,A,AS,mean,Damhusåen-A,2018-12-04,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-18,MQ190919,LIB-Damhusaen-LT-A-138,,"",Fall,A,AS,mean,Damhusåen-A,2018-12-06,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-19,MQ190919,LIB-Damhusaen-LT-A-139,,"",Fall,A,AS,mean,Damhusåen-A,2018-12-10,50,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-20,MQ190919,LIB-Damhusaen-LT-A-140,,"",Winter,A,AS,mean,Damhusåen-A,2018-12-18,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-21,MQ190919,LIB-Damhusaen-LT-A-141,,"",Winter,A,AS,mean,Damhusåen-A,2018-12-20,51,2018,,"","","","","","",,,,,,,,,,,"",,
