"Date"	"Flow_influent_[m3/h]"	"Precipitation_[mm]"	"SS_influent_[mg/l]"	"pH_influent"	"BOD5_influent_[mg/l]"	"COD_influent_[mg/l]"	"N_tot_influent_[mg/l]"	"NH4_N_influent_[mg/l]"	"P_tot_influent_[mg/l]"	"Cl_influent_[mg/l]"	"Conductivity_influent_[mS/m]"	"Fat_and_oil_influent_[mg/l]"	"SV_[ml/l]"	"SS_LT_[mg/l]"	"SVI_[ml/g]"	"DSV_[ml/l]"	"DSVI_[ml/g]"	"SS_RAS [mg/l]"	"Temperature_[C]"	"Aerobic SRT_[d]"	"DO_LT1_setpoint_[mg/l]"	"DO_LT1_value_[mg/l]"	"DO_LT2_setpoint_[mg/l]"	"DO_LT2_value_[mg/l]"	"DO_LT3_setpoint_[mg/l]"	"DO_LT3_value_[mg/l]"	"DO_LT4_setpoint_[mg/l]"	"DO_LT4_value_[mg/l]"	"DO_LT5_setpoint_[mg/l]"	"DO_LT5_value_[mg/l]"	"DO_LT6_setpoint_[mg/l]"	"DO_LT6_value_[mg/l]"	"Molasses_setpoint_[mg/l]"	"PAX_[mg/l]"	"FeCl_Grunddosering_[mg/l]"	"FeCl_Topdosering_[mg/l]"	"Flow_out [m3/d]"	"COD_out_[mg/l]"	"BOD5_out [mg/l]"	"SS_out_[mg/l]"	"NH4_N_out_[mg/l]"	"NO3_N_out_[mg/l]"	"PO4_P_out_[mg/l]"	"N_tot_out_[mg/l]"	"P_tot_out_[mg/l]"
2015-01-22	2338.05833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	10.4	1.89958506224066	1.25259515570934	1.637109375	0.91280276816609	1.90663900414938	1.34044943820225	2.0372	1.36262626262626	1.8878431372549	1.34059405940594	1.49438202247191	0.544817073170732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-23	2564.91347222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	980	4.5	217.7777778	350	194.4444444	12.7	9.8	10.8	2.41541501976285	1.44358108108108	2.12835820895522	0.8421875	2.33512396694215	1.33	2.39516129032258	1.28788819875776	2.34333333333333	1.13065015479876	2.22508833922261	0.469255663430421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-24	2552.82833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	11.2	2.64505928853755	1.06183431952663	2.57770034843206	0.666410256410256	2.56291666666667	0.743612334801762	2.58702290076336	0.827828054298643	2.31807692307692	0.577358490566038	2.75418060200669	0.36169014084507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-25	2430.26541666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	11.3	2.2064	1.21013986013986	1.62681992337165	0.771929824561404	2.00791666666667	1.0880701754386	2.0015873015873	1.09118644067797	1.83185185185185	0.939799331103679	1.42967032967033	0.484423676012461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-26	2799.5375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1	10.4	2.04901960784314	1.35358361774744	1.11531531531532	0.594395280235988	1.74038461538462	0.936363636363636	1.73401639344262	0.886868686868687	1.47803921568627	0.929119638826185	1.25318352059925	0.773816155988858	NA	NA	NA	NA	NA	NA	NA	NA	0.11	2.7	0.62	NA	NA
2015-01-27	2521.75944444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2	9.9	1.4136186770428	1.0858064516129	1.3043956043956	0.645698924731183	1.46290322580645	1.00988372093023	1.70200803212851	1.1379821958457	1.46163265306122	1.13739612188366	1.24349593495935	0.670860927152318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-28	2723.33064066852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	10.1	2.17090163934426	1.25193548387097	1.74743083003953	0.711688311688312	2.0764	1.06185286103542	2.25892116182573	1.05942028985507	2.07075098814229	0.966037735849057	1.72316602316602	0.511680911680912	NA	NA	NA	NA	NA	NA	NA	NA	0.25	3.3	0.6	NA	NA
2015-01-29	2679.70267229255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	10.6	1.32448132780083	0.97	1.41142857142857	0.791208791208791	1.37574468085106	0.837567567567568	1.85299145299145	1.02163588390501	1.39593495934959	0.95958904109589	1.11806722689076	0.63954802259887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-30	2257.11430555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.7	10.6	1.83958333333333	1.10074626865672	1.56525423728814	0.591796875	1.60663716814159	0.964341085271318	2.19173913043478	1.26165413533835	1.59791666666667	0.873737373737374	1.05238095238095	0.529194630872483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-31	2374.13194444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	10.9	1.99192307692308	0.968211920529801	0.974812030075188	0.387279151943463	1.71960784313726	0.906185567010309	1.7781746031746	0.8475	1.61259259259259	0.818954248366013	1.07481481481481	0.466775244299674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
