Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201009-275,MQ201009,LIB-Lynetten-LT-13,36863,"","","",Lynetten,2019-08-08,32,2019,Summer,"","","","","","",,,,,,,,,
MQ201009-276,MQ201009,LIB-Lynetten-LT-15,35679,"","","",Lynetten,2019-08-29,35,2019,Summer,"","","","","","",,,,,,,,,
MQ201009-277,MQ201009,LIB-Lynetten-LT-17,39487,"","","",Lynetten,2019-09-19,38,2019,Fall,"","","","","","",,,,,,,,,
MQ201009-278,MQ201009,LIB-Lynetten-LT-19,39924,"","","",Lynetten,2019-10-17,42,2019,Fall,"","","","","","",,,,,,,,,
MQ201009-279,MQ201009,LIB-Lynetten-LT-21,38476,"","","",Lynetten,2019-11-14,46,2019,Fall,"","","","","","",,,,,,,,,
MQ201009-280,MQ201009,LIB-Lynetten-LT-22,39247,"","","",Lynetten,2019-11-27,48,2019,Fall,"","","","","","",,,,,,,,,
MQ201009-281,MQ201009,LIB-Lynetten-LT-24,38213,"","","",Lynetten,2019-12-12,50,2019,Fall,"","","","","","",,,,,,,,,
MQ201009-282,MQ201009,LIB-Lynetten-LT-26,1313,"","","",Lynetten,2019-12-18,51,2019,Winter,"","","","","","",,,,,,,,,
MQ201009-283,MQ201009,LIB-Lynetten-LT-28,36868,"","","",Lynetten,2020-01-09,2,2020,Winter,"","","","","","",,,,,,,,,
MQ201009-284,MQ201009,LIB-Lynetten-LT-30,33971,"","","",Lynetten,2020-01-15,3,2020,Winter,"","","","","","",,,,,,,,,
MQ201009-285,MQ201009,LIB-Lynetten-LT-32,36693,"","","",Lynetten,2020-02-11,7,2020,Winter,"","","","","","",,,,,,,,,
MQ201009-286,MQ201009,LIB-Lynetten-LT-34,35891,"","","",Lynetten,2020-02-25,9,2020,Winter,"","","","","","",,,,,,,,,
MQ201009-287,MQ201009,LIB-Lynetten-LT-36,38876,"","","",Lynetten,2020-03-11,11,2020,Winter,"","","","","","",,,,,,,,,
MQ201009-288,MQ201009,LIB-Lynetten-LT-38,41065,"","","",Lynetten,2020-05-14,20,2020,Spring,"","","","","","",,,,,,,,,
MQ201009-289,MQ201009,LIB-Lynetten-LT-40,39107,"","","",Lynetten,2020-05-28,22,2020,Spring,"","","","","","",,,,,,,,,
MQ201009-290,MQ201009,LIB-Lynetten-LT-42,39486,"","","",Lynetten,2020-06-10,24,2020,Spring,"","","","","","",,,,,,,,,
MQ201009-291,MQ201009,LIB-Lynetten-LT-44,35855,"","","",Lynetten,2020-06-23,26,2020,Summer,"","","","","","",,,,,,,,,
MQ201009-292,MQ201009,LIB-Lynetten-LT-46,35949,"","","",Lynetten,2020-07-09,28,2020,Summer,"","","","","","",,,,,,,,,
MQ201009-293,MQ201009,LIB-Lynetten-LT-48,40063,"","","",Lynetten,2020-07-23,30,2020,Summer,"","","","","","",,,,,,,,,
MQ201009-294,MQ201009,LIB-Lynetten-LT-51,38521,"","","",Lynetten,2020-08-14,33,2020,Summer,"","","","","","",,,,,,,,,
MQ201009-295,MQ201009,LIB-Lynetten-LT-53,43322,"","","",Lynetten,2020-08-28,35,2020,Summer,"","","","","","",,,,,,,,,
