ASV,Genus,Species
asv_883,Helotiales incertae sedis,asv_883
asv_888,Unknown,asv_888
asv_891,Unknown,asv_891
asv_893,Vermiconia,asv_893
asv_899,Other,asv_899
asv_902,Other,asv_902
asv_903,Penicillium,asv_903
asv_906,Unknown,asv_906
asv_907,Other,asv_907
asv_908,Unknown,asv_908
asv_911,Unknown,asv_911
asv_912,Papiliotrema,asv_912
asv_914,Naganishia,asv_914
asv_915,Emericellopsis,asv_915
asv_916,Curvibasidium,asv_916
asv_921,Trametes,asv_921
asv_924,Unknown,asv_924
asv_925,Unknown,asv_925
asv_928,Unknown,asv_928
asv_932,Peniophora,asv_932
asv_933,Exophiala,asv_933
asv_934,Paraphoma,asv_934
asv_938,Neoascochyta,asv_938
asv_940,Gibellulopsis,asv_940
asv_943,Malassezia,asv_943
asv_946,Unknown,asv_946
asv_947,Naganishia,asv_947
asv_949,Exophiala,asv_949
asv_950,Unknown,asv_950
asv_953,Trichoderma,asv_953
asv_954,Unknown,asv_954
asv_956,Didymosphaeriaceae incertae sedis,asv_956
asv_957,Unknown,asv_957
asv_960,Ramularia,asv_960
asv_961,Cryptococcus,asv_961
asv_964,Cystobasidiomycetes incertae sedis,asv_964
asv_972,Other,asv_972
asv_974,Unknown,asv_974
asv_975,Unknown,asv_975
asv_979,Tremellales incertae sedis,asv_979
asv_980,Fusarium,asv_980
asv_982,Dioszegia,asv_982
asv_983,Schizophyllum,asv_983
asv_985,Pseudopithomyces,asv_985
asv_986,Baeospora,asv_986
asv_987,Rhodotorula,asv_987
asv_992,Unknown,asv_992
asv_996,Unknown,asv_996
asv_997,Unknown,asv_997
asv_999,Zalerion,asv_999
asv_1003,Unknown,asv_1003
asv_1004,Unknown,asv_1004
asv_1006,Malassezia,asv_1006
asv_1014,Hymenopellis,asv_1014
asv_1015,Unknown,asv_1015
asv_1017,Rhodotorula,asv_1017
asv_1019,Aspergillus,asv_1019
asv_1020,Phomatodes,asv_1020
asv_1022,Peniophora,asv_1022
asv_1027,Unknown,asv_1027
asv_1030,Wallemia,asv_1030
asv_1031,Unknown,asv_1031
asv_1032,Unknown,asv_1032
asv_1033,Unknown,asv_1033
asv_1035,Eutypella,asv_1035
asv_1037,Penicillium,asv_1037
asv_1044,Trichoderma,asv_1044
asv_1045,Unknown,asv_1045
asv_1051,Botrytis,asv_1051
asv_1054,Trametes,asv_1054
asv_1055,Hypocreales incertae sedis,asv_1055
asv_1057,Unknown,asv_1057
asv_1058,Heterobasidion,asv_1058
asv_1060,Chaetothyriales incertae sedis,asv_1060
asv_1063,Pringsheimia,asv_1063
asv_1066,Cercospora,asv_1066
asv_1068,Dothideomycetes incertae sedis,asv_1068
asv_1069,Neocucurbitaria,asv_1069
asv_1073,Taphrina,asv_1073
asv_1075,Sakaguchia,asv_1075
asv_1078,Unknown,asv_1078
asv_1079,Unknown,asv_1079
asv_1080,Rhodosporidiobolus,asv_1080
asv_1081,Unknown,asv_1081
asv_1082,Fusarium,asv_1082
asv_1083,Unknown,asv_1083
asv_1086,Unknown,asv_1086
asv_1087,Tricholomopsis,asv_1087
asv_1093,Unknown,asv_1093
asv_1094,Brunneofusispora,asv_1094
asv_1095,Unknown,asv_1095
asv_1097,Bradymyces,asv_1097
asv_1098,Unknown,asv_1098
asv_1101,Unknown,asv_1101
asv_1104,Other,Pleurobrachia pileus
asv_1105,Symmetrospora,asv_1105
asv_1109,Unknown,asv_1109
asv_1110,Penicillium,asv_1110
asv_1123,Peniophora,asv_1123
asv_1125,Preussia,asv_1125
asv_1127,Other,asv_1127
asv_1129,Unknown,asv_1129
asv_1131,Debaryomyces,asv_1131
asv_1132,Trichosporon,asv_1132
asv_1133,Cystofilobasidium,asv_1133
asv_1134,Other,asv_1134
asv_1135,Peniophora,asv_1135
asv_1138,Trechispora,asv_1138
asv_1139,Unknown,asv_1139
asv_1141,Other,Mertensia ovum
asv_1143,Stereum,asv_1143
asv_1147,Unknown,asv_1147
asv_1150,Unknown,asv_1150
asv_1152,Unknown,asv_1152
asv_1153,Ramularia,asv_1153
asv_1154,Unknown,asv_1154
asv_1157,Unknown,asv_1157
asv_1158,Leptospora,asv_1158
asv_1160,Thelebolus,asv_1160
asv_1162,Filobasidium,asv_1162
asv_1164,Phlebia,asv_1164
asv_1166,Unknown,asv_1166
asv_1167,Metarhizium,asv_1167
asv_1170,Unknown,asv_1170
asv_1173,Unknown,asv_1173
asv_1176,Acremonium,asv_1176
asv_1178,Unknown,asv_1178
asv_1182,Unknown,asv_1182
asv_1183,Unknown,asv_1183
asv_1184,Unknown,asv_1184
asv_1188,Terana,asv_1188
asv_1189,Other,asv_1189
asv_1190,Unknown,asv_1190
asv_1191,Unknown Ascomycota,Ascomycete sp.
asv_1194,Unknown,asv_1194
asv_1197,Unknown,asv_1197
asv_1202,Stereum,asv_1202
asv_1204,Curvularia,asv_1204
asv_1205,Ustilentyloma,asv_1205
asv_1207,Unknown,asv_1207
asv_1208,Capnodiales incertae sedis,asv_1208
asv_1209,Dioszegia,asv_1209
asv_1210,Taphrina,asv_1210
asv_1212,Thelebolus,asv_1212
asv_1213,Unknown,asv_1213
asv_1215,Stemphylium,asv_1215
asv_1216,Leprocaulon,asv_1216
asv_1217,Peniophora,asv_1217
asv_1219,Protomyces,asv_1219
asv_1223,Unknown,asv_1223
asv_1225,Yamadazyma,asv_1225
asv_1226,Rhodosporidiobolus,asv_1226
asv_1227,Unknown,asv_1227
asv_1229,Botrytis,asv_1229
asv_1230,Other,asv_1230
asv_1233,Eutypella,asv_1233
asv_1236,Leucosporidium,asv_1236
asv_1237,Pringsheimia,asv_1237
asv_1238,Unknown,asv_1238
asv_1239,Unknown,asv_1239
asv_1240,Sistotrema,asv_1240
asv_1242,Aspergillus,asv_1242
asv_1243,Unknown,asv_1243
asv_1244,Sistotrema,asv_1244
asv_1245,Other,asv_1245
asv_1252,Unknown,asv_1252
asv_1253,Capnodiales incertae sedis,asv_1253
asv_1254,Unknown,Alloascoidea africana
asv_1256,Kondoa,asv_1256
asv_1257,Hypholoma,asv_1257
asv_1259,Chaetothyriales incertae sedis,asv_1259
asv_1261,Unknown,asv_1261
asv_1262,Hypholoma,asv_1262
asv_1263,Unknown,asv_1263
asv_1264,Unknown,asv_1264
asv_1270,Unknown,asv_1270
asv_1273,Knufia,asv_1273
asv_1274,Unknown,asv_1274
asv_1280,Unknown,asv_1280
asv_1282,Mortierella,asv_1282
asv_1284,Unknown,asv_1284
asv_1286,Unknown,asv_1286
asv_1290,Other,asv_1290
asv_1294,Candida,asv_1294
asv_1295,Rhodotorula,asv_1295
asv_1308,Unknown,asv_1308
asv_1309,Knufia,asv_1309
asv_1315,Other,asv_1315
asv_1316,Other,asv_1316
asv_1319,Unknown,asv_1319
asv_1320,Trametes,asv_1320
asv_1322,Aspergillus,asv_1322
asv_1328,Metschnikowia,asv_1328
asv_1330,Unknown,asv_1330
asv_1333,Taphrina,asv_1333
asv_1334,Unknown,asv_1334
asv_1336,Pseudeurotium,asv_1336
asv_1338,Unknown,asv_1338
asv_1341,Plectosphaerella,asv_1341
asv_1344,Juxtiphoma,asv_1344
asv_1346,Unknown,asv_1346
asv_1348,Nigrograna,asv_1348
asv_1349,Unknown,asv_1349
asv_1350,Paraphaeosphaeria,asv_1350
asv_1353,Unknown,asv_1353
asv_1354,Unknown,asv_1354
asv_1355,Unknown,asv_1355
asv_1356,Unknown,asv_1356
asv_1357,Unknown,asv_1357
asv_1361,Unknown,asv_1361
asv_1362,Sistotrema,asv_1362
asv_1363,Fusarium,asv_1363
asv_1364,Unknown,asv_1364
asv_1365,Trichoderma,asv_1365
asv_1369,Other,asv_1369
asv_1370,Unknown,asv_1370
asv_1371,Unknown,asv_1371
asv_1372,Unknown,asv_1372
asv_1374,Myriangium,asv_1374
asv_1379,Unknown,asv_1379
asv_1380,Unknown,asv_1380
asv_1381,Tremellales incertae sedis,asv_1381
asv_1382,Pyrenochaeta,asv_1382
asv_1385,Cystofilobasidium,asv_1385
asv_1386,Unknown,asv_1386
asv_1387,Peniophora,asv_1387
asv_1389,Thelebolus,asv_1389
asv_1393,Unknown,asv_1393
asv_1394,Apiotrichum,asv_1394
asv_1398,Unknown,asv_1398
asv_1399,Unknown,asv_1399
asv_1401,Unknown,asv_1401
asv_1407,Unknown,asv_1407
asv_1410,Unknown,asv_1410
asv_1413,Unknown,asv_1413
asv_1419,Unknown,asv_1419
asv_1422,Unknown,asv_1422
asv_1423,Neosetophoma,asv_1423
asv_1424,Unknown,asv_1424
asv_1425,Unknown,asv_1425
asv_1426,Pseudeurotium,asv_1426
asv_1427,Unknown,asv_1427
asv_1428,Coniochaeta,asv_1428
asv_1429,Phaeosphaeria,asv_1429
asv_1430,Unknown,asv_1430
asv_1434,Other,asv_1434
asv_1450,Other,asv_1450
asv_1451,Unknown,asv_1451
asv_1457,Symmetrospora,asv_1457
asv_1459,Vishniacozyma,asv_1459
asv_1460,Unknown,asv_1460
asv_1461,Trichoderma,asv_1461
asv_1462,Capronia,asv_1462
asv_1463,Deconica,asv_1463
asv_1467,Sebacina,asv_1467
asv_1468,Other,asv_1468
asv_1473,Entoloma,asv_1473
asv_1474,Pycnoporellus,asv_1474
asv_1475,Devriesia,asv_1475
asv_1477,Phaeococcomyces,asv_1477
asv_1479,Vishniacozyma,asv_1479
asv_1481,Other,asv_1481
asv_1487,Unknown,asv_1487
asv_1488,Unknown,asv_1488
asv_1493,Sistotrema,asv_1493
asv_1494,Unknown,asv_1494
asv_1495,Glomeraceae incertae sedis,asv_1495
asv_1497,Unknown,asv_1497
asv_1500,Ophiostoma,asv_1500
asv_1501,Unknown,asv_1501
asv_1502,Unknown,asv_1502
asv_1503,Neohortaea,asv_1503
asv_1505,Urocystis,asv_1505
asv_1508,Other,asv_1508
asv_1513,Unknown,asv_1513
asv_1514,Peniophora,asv_1514
asv_1517,Unknown,asv_1517
asv_1518,Unknown,asv_1518
asv_1520,Other,asv_1520
asv_1521,Unknown,asv_1521
asv_1522,Vishniacozyma,asv_1522
asv_1523,Unknown,asv_1523
asv_1528,Unknown,asv_1528
asv_1529,Sistotrema,asv_1529
asv_1533,Coniosporium,asv_1533
asv_1534,Cladosporium,asv_1534
asv_1535,Tolypocladium,asv_1535
asv_1537,Ombrophila,asv_1537
asv_1539,Unknown,asv_1539
asv_1548,Unknown Ascomycota,asv_1548
asv_1552,Symmetrospora,asv_1552
asv_1555,Penicillium,asv_1555
asv_1556,Hyphodontia,asv_1556
asv_1564,Gibellulopsis,Gibellulopsis nigrescens
asv_1570,Debaryomyces,asv_1570
asv_1572,Other,asv_1572
asv_1573,Other,asv_1573
asv_1577,Unknown,asv_1577
asv_1578,Erythrobasidiaceae incertae sedis,asv_1578
asv_1580,Tetracladium,asv_1580
asv_1583,Unknown,asv_1583
asv_1584,Ramularia,asv_1584
asv_1585,Sporidiobolaceae incertae sedis,asv_1585
asv_1586,Lecanicillium,Lecanicillium sp.
asv_1587,Exophiala,asv_1587
asv_1588,Lichina,asv_1588
asv_1590,Thermomyces ,asv_1590
asv_1592,Other,asv_1592
asv_1597,Hymenochaetopsis,asv_1597
asv_1599,Unknown,asv_1599
asv_1600,Neosetophoma,asv_1600
asv_1604,Unknown,asv_1604
asv_1607,Unknown,asv_1607
asv_1609,Other,asv_1609
asv_1610,Penicillium,asv_1610
asv_1611,Exophiala,asv_1611
asv_1612,Agaricales incertae sedis,asv_1612
asv_1613,Unknown,asv_1613
asv_1619,Unknown,asv_1619
asv_1620,Unknown,asv_1620
asv_1621,Ganoderma,asv_1621
asv_1622,Unknown,asv_1622
asv_1623,Thyronectria,asv_1623
asv_1624,Arthrinium,asv_1624
asv_1625,Sarocladium ,asv_1625
asv_1630,Sistotrema,asv_1630
asv_1634,Microdochium,asv_1634
asv_1635,Claussenomyces ,asv_1635
asv_1636,Other,asv_1636
asv_1639,Candida,[Candida] saitoana
asv_1640,Trichoderma,asv_1640
asv_1641,Unknown,asv_1641
asv_1643,Other,asv_1643
asv_1644,Candida,[Candida] peoriensis
asv_1645,Rugosomyces,asv_1645
asv_1651,Trichothecium,asv_1651
asv_1652,Cadophora,asv_1652
asv_1654,Agaricales incertae sedis,asv_1654
asv_1655,Neohortaea,asv_1655
asv_1656,Unknown,asv_1656
asv_1657,Duportella,asv_1657
asv_1658,Unknown,asv_1658
asv_1659,Unknown,asv_1659
asv_1660,Unknown,asv_1660
asv_1661,Hirsutella,asv_1661
asv_1664,Unknown,asv_1664
asv_1667,Unknown Ascomycota,asv_1667
asv_1669,Fusarium,asv_1669
asv_1673,Unknown,asv_1673
asv_1674,Other,asv_1674
asv_1675,Rhodotorula,asv_1675
asv_1677,Unknown,asv_1677
asv_1679,Eutypa,asv_1679
asv_1682,Naganishia,asv_1682
asv_1690,Other,asv_1690
asv_1691,Other,asv_1691
asv_1696,Unknown,asv_1696
asv_1698,Hypocreales incertae sedis,asv_1698
asv_1699,Unknown,asv_1699
asv_1700,Hypocreales incertae sedis,asv_1700
asv_1702,Unknown,asv_1702
asv_1704,Other,asv_1704
asv_1707,Bisporella,asv_1707
asv_1709,Peniophora,asv_1709
asv_1710,Unknown,asv_1710
asv_1711,Unknown,asv_1711
asv_1712,Sporobolomyces,asv_1712
asv_1713,Veronaea,asv_1713
asv_1716,Stereum,asv_1716
asv_1717,Unknown,asv_1717
