SampleID	SampleDay	SampleContent	SampleIndividual
M3_tongue_day_289	289	tongue	M3
M3_tongue_day_290	290	tongue	M3
M3_tongue_day_292	292	tongue	M3
M3_tongue_day_293	293	tongue	M3
M3_tongue_day_294	294	tongue	M3
M3_tongue_day_295	295	tongue	M3
M3_tongue_day_296	296	tongue	M3
M3_tongue_day_297	297	tongue	M3
M3_tongue_day_298	298	tongue	M3
M3_tongue_day_299	299	tongue	M3
M3_tongue_day_300	300	tongue	M3
M3_tongue_day_301	301	tongue	M3
M3_tongue_day_302	302	tongue	M3
M3_tongue_day_303	303	tongue	M3
M3_tongue_day_304	304	tongue	M3
M3_tongue_day_305	305	tongue	M3
M3_tongue_day_306	306	tongue	M3
M3_tongue_day_307	307	tongue	M3
M3_tongue_day_308	308	tongue	M3
M3_tongue_day_309	309	tongue	M3
M3_tongue_day_311	311	tongue	M3
M3_tongue_day_312	312	tongue	M3
M3_tongue_day_314	314	tongue	M3
M3_tongue_day_315	315	tongue	M3
M3_tongue_day_316	316	tongue	M3
M3_tongue_day_317	317	tongue	M3
M3_tongue_day_318	318	tongue	M3
M3_tongue_day_319	319	tongue	M3
M3_tongue_day_320	320	tongue	M3
M3_tongue_day_321	321	tongue	M3
M3_tongue_day_322	322	tongue	M3
M3_tongue_day_323	323	tongue	M3
M3_tongue_day_324	324	tongue	M3
M3_tongue_day_325	325	tongue	M3
M3_tongue_day_326	326	tongue	M3
M3_tongue_day_327	327	tongue	M3
M3_tongue_day_328	328	tongue	M3
M3_tongue_day_330	330	tongue	M3
M3_tongue_day_331	331	tongue	M3
M3_tongue_day_332	332	tongue	M3
M3_tongue_day_333	333	tongue	M3
M3_tongue_day_334	334	tongue	M3
M3_tongue_day_335	335	tongue	M3
M3_tongue_day_336	336	tongue	M3
M3_tongue_day_337	337	tongue	M3
M3_tongue_day_338	338	tongue	M3
M3_tongue_day_339	339	tongue	M3
M3_tongue_day_340	340	tongue	M3
M3_tongue_day_341	341	tongue	M3
M3_tongue_day_343	343	tongue	M3
M3_tongue_day_344	344	tongue	M3
M3_tongue_day_345	345	tongue	M3
M3_tongue_day_346	346	tongue	M3
M3_tongue_day_347	347	tongue	M3
M3_tongue_day_348	348	tongue	M3
M3_tongue_day_349	349	tongue	M3
M3_tongue_day_350	350	tongue	M3
M3_tongue_day_351	351	tongue	M3
M3_tongue_day_352	352	tongue	M3
M3_tongue_day_353	353	tongue	M3
M3_tongue_day_354	354	tongue	M3
M3_tongue_day_355	355	tongue	M3
M3_tongue_day_356	356	tongue	M3
M3_tongue_day_357	357	tongue	M3
M3_tongue_day_358	358	tongue	M3
M3_tongue_day_359	359	tongue	M3
M3_tongue_day_360	360	tongue	M3
M3_tongue_day_361	361	tongue	M3
M3_tongue_day_362	362	tongue	M3
M3_tongue_day_363	363	tongue	M3
M3_tongue_day_365	365	tongue	M3
M3_tongue_day_367	367	tongue	M3
M3_tongue_day_368	368	tongue	M3
M3_tongue_day_369	369	tongue	M3
M3_tongue_day_370	370	tongue	M3
M3_tongue_day_371	371	tongue	M3
M3_tongue_day_372	372	tongue	M3
M3_tongue_day_373	373	tongue	M3
M3_tongue_day_374	374	tongue	M3
M3_tongue_day_375	375	tongue	M3
M3_tongue_day_376	376	tongue	M3
M3_tongue_day_377	377	tongue	M3
M3_tongue_day_378	378	tongue	M3
M3_tongue_day_379	379	tongue	M3
M3_tongue_day_380	380	tongue	M3
M3_tongue_day_381	381	tongue	M3
M3_tongue_day_382	382	tongue	M3
M3_tongue_day_383	383	tongue	M3
M3_tongue_day_384	384	tongue	M3
M3_tongue_day_385	385	tongue	M3
M3_tongue_day_386	386	tongue	M3
M3_tongue_day_389	389	tongue	M3
M3_tongue_day_390	390	tongue	M3
M3_tongue_day_391	391	tongue	M3
M3_tongue_day_392	392	tongue	M3
M3_tongue_day_393	393	tongue	M3
M3_tongue_day_394	394	tongue	M3
M3_tongue_day_395	395	tongue	M3
M3_tongue_day_396	396	tongue	M3
M3_tongue_day_397	397	tongue	M3
M3_tongue_day_398	398	tongue	M3
M3_tongue_day_399	399	tongue	M3
M3_tongue_day_400	400	tongue	M3
M3_tongue_day_401	401	tongue	M3
M3_tongue_day_402	402	tongue	M3
M3_tongue_day_403	403	tongue	M3
M3_tongue_day_405	405	tongue	M3
M3_tongue_day_406	406	tongue	M3
M3_tongue_day_410	410	tongue	M3
M3_tongue_day_411	411	tongue	M3
M3_tongue_day_412	412	tongue	M3
M3_tongue_day_413	413	tongue	M3
M3_tongue_day_415	415	tongue	M3
M3_tongue_day_416	416	tongue	M3
M3_tongue_day_417	417	tongue	M3
M3_tongue_day_418	418	tongue	M3
M3_tongue_day_420	420	tongue	M3
M3_tongue_day_438	438	tongue	M3
M3_tongue_day_439	439	tongue	M3
M3_tongue_day_440	440	tongue	M3
M3_tongue_day_441	441	tongue	M3
M3_tongue_day_442	442	tongue	M3
M3_tongue_day_443	443	tongue	M3
