SampleID	SampleDay	SampleContent	SampleIndividual
M3_rightpalm_day_378	378	rightpalm	M3
M3_rightpalm_day_379	379	rightpalm	M3
M3_rightpalm_day_380	380	rightpalm	M3
M3_rightpalm_day_381	381	rightpalm	M3
M3_rightpalm_day_382	382	rightpalm	M3
M3_rightpalm_day_383	383	rightpalm	M3
M3_rightpalm_day_384	384	rightpalm	M3
M3_rightpalm_day_385	385	rightpalm	M3
M3_rightpalm_day_386	386	rightpalm	M3
M3_rightpalm_day_387	387	rightpalm	M3
M3_rightpalm_day_389	389	rightpalm	M3
M3_rightpalm_day_390	390	rightpalm	M3
M3_rightpalm_day_391	391	rightpalm	M3
M3_rightpalm_day_392	392	rightpalm	M3
M3_rightpalm_day_393	393	rightpalm	M3
M3_rightpalm_day_394	394	rightpalm	M3
M3_rightpalm_day_395	395	rightpalm	M3
M3_rightpalm_day_396	396	rightpalm	M3
M3_rightpalm_day_397	397	rightpalm	M3
M3_rightpalm_day_398	398	rightpalm	M3
M3_rightpalm_day_399	399	rightpalm	M3
M3_rightpalm_day_400	400	rightpalm	M3
M3_rightpalm_day_401	401	rightpalm	M3
M3_rightpalm_day_402	402	rightpalm	M3
M3_rightpalm_day_403	403	rightpalm	M3
M3_rightpalm_day_405	405	rightpalm	M3
M3_rightpalm_day_406	406	rightpalm	M3
M3_rightpalm_day_410	410	rightpalm	M3
M3_rightpalm_day_411	411	rightpalm	M3
M3_rightpalm_day_412	412	rightpalm	M3
M3_rightpalm_day_413	413	rightpalm	M3
M3_rightpalm_day_415	415	rightpalm	M3
M3_rightpalm_day_416	416	rightpalm	M3
M3_rightpalm_day_417	417	rightpalm	M3
M3_rightpalm_day_418	418	rightpalm	M3
M3_rightpalm_day_420	420	rightpalm	M3
M3_rightpalm_day_438	438	rightpalm	M3
M3_rightpalm_day_439	439	rightpalm	M3
M3_rightpalm_day_440	440	rightpalm	M3
