SampleID	SampleDay	SampleContent	SampleIndividual
M3_gut_day_374	374	gut	M3
M3_gut_day_375	375	gut	M3
M3_gut_day_376	376	gut	M3
M3_gut_day_377	377	gut	M3
M3_gut_day_378	378	gut	M3
M3_gut_day_379	379	gut	M3
M3_gut_day_381	381	gut	M3
M3_gut_day_382	382	gut	M3
M3_gut_day_384	384	gut	M3
M3_gut_day_385	385	gut	M3
M3_gut_day_386	386	gut	M3
M3_gut_day_388	388	gut	M3
M3_gut_day_389	389	gut	M3
M3_gut_day_390	390	gut	M3
M3_gut_day_391	391	gut	M3
M3_gut_day_396	396	gut	M3
M3_gut_day_398	398	gut	M3
M3_gut_day_400	400	gut	M3
M3_gut_day_401	401	gut	M3
M3_gut_day_406	406	gut	M3
M3_gut_day_410	410	gut	M3
M3_gut_day_412	412	gut	M3
M3_gut_day_413	413	gut	M3
M3_gut_day_414	414	gut	M3
M3_gut_day_415	415	gut	M3
M3_gut_day_416	416	gut	M3
M3_gut_day_417	417	gut	M3
M3_gut_day_418	418	gut	M3
M3_gut_day_421	421	gut	M3
M3_gut_day_438	438	gut	M3
M3_gut_day_439	439	gut	M3
M3_gut_day_442	442	gut	M3
