Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-139,MQ190919,LIB-Avedore-LT-61_Biofos,,"",Summer,LT4,AS,"",Avedøre,2018-08-27,35,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-140,MQ190919,LIB-Avedore-LT-62,,"",Summer,LT3,AS,"",Avedøre,2018-09-06,36,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-141,MQ190919,LIB-Avedore-LT-63_Biofos,,"",Fall,LT3,AS,"",Avedøre,2018-09-19,38,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-142,MQ190919,LIB-Avedore-LT-64,,"",Fall,LT3,AS,"",Avedøre,2018-10-19,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-143,MQ190919,LIB-Avedore-LT-65_Biofos,,"",Fall,LT3,AS,"",Avedøre,2018-11-05,45,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-144,MQ190919,LIB-Avedore-LT-66,,"",Fall,LT3,AS,"",Avedøre,2018-11-19,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-145,MQ190919,LIB-Avedore-LT-67_Biofos,,"",Fall,LT3,AS,"",Avedøre,2018-12-03,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-146,MQ190919,LIB-Avedore-LT-68,,"",Winter,LT3,AS,"",Avedøre,2018-12-17,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-147,MQ190919,LIB-Avedore-LT-69_Biofos,,"",Winter,LT3,AS,"",Avedøre,2019-01-11,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-148,MQ190919,LIB-Avedore-LT-70,,"",Winter,LT3,AS,"",Avedøre,2019-01-23,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-149,MQ190919,LIB-Avedore-LT-71,,"",Winter,LT3,AS,"",Avedøre,2019-02-06,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-150,MQ190919,LIB-Avedore-LT-72,,"",Winter,LT3,AS,"",Avedøre,2019-02-19,8,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-151,MQ190919,LIB-Avedore-LT-73,,"",Winter,LT3,AS,"",Avedøre,2019-03-07,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-152,MQ190919,LIB-Avedore-LT-74,,"",Spring,LT3,AS,"",Avedøre,2019-03-22,12,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-153,MQ190919,LIB-Avedore-LT-75,,"",Spring,LT3,AS,"",Avedøre,2019-04-04,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-154,MQ190919,LIB-Avedore-LT-76,,"",Spring,LT3,AS,"",Avedøre,2019-04-16,16,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-155,MQ190919,LIB-Avedore-LT-77,,"",Spring,LT3,AS,"",Avedøre,2019-05-03,18,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-156,MQ190919,LIB-Avedore-LT-5,,"",Spring,LT3,AS,"",Avedøre,2019-05-20,21,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-157,MQ190919,LIB-Avedore-LT-9,,"",Spring,LT3,AS,"",Avedøre,2019-06-03,23,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-158,MQ190919,LIB-Avedore-LT-11,,"",Summer,LT3,AS,"",Avedøre,2019-06-24,26,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-159,MQ190919,LIB-Avedore-LT-13,,"",Summer,LT3,AS,"",Avedøre,2019-07-02,27,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-249,MQ201019,LIB-Avedore-LT-15,36145,"",Summer,LT3,AS,"",Avedøre,2019-07-22,30,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-250,MQ201019,LIB-Avedore-LT-17,36508,"",Summer,LT3,AS,"",Avedøre,2019-08-07,32,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-251,MQ201019,LIB-Avedore-LT-19,36638,"",Summer,LT3,AS,"",Avedøre,2019-08-21,34,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-252,MQ201019,LIB-Avedore-LT-25,37876,"",Summer,LT3,AS,"",Avedøre,2019-08-26,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-253,MQ201019,LIB-Avedore-LT-29,37385,"",Summer,LT3,AS,"",Avedøre,2019-08-26,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-254,MQ201019,LIB-Avedore-LT-31,37595,"",Summer,LT3,AS,"",Avedøre,2019-08-26,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-255,MQ201019,LIB-Avedore-LT-33,38726,"",Summer,LT3,AS,"",Avedøre,2019-08-26,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-256,MQ201019,LIB-Avedore-LT-35,38895,"",Fall,LT3,AS,"",Avedøre,2019-10-14,42,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-257,MQ201019,LIB-Avedore-LT-37,55566,"",Fall,LT3,AS,"",Avedøre,2019-12-02,49,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-258,MQ201019,LIB-Avedore-LT-39,50268,"",Fall,LT3,AS,"",Avedøre,2019-12-03,49,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-259,MQ201019,LIB-Avedore-LT-47,52092,"",Winter,LT3,AS,"",Avedøre,2019-12-20,51,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201019-260,MQ201019,LIB-Avedore-LT-49,51865,"",Winter,LT3,AS,"",Avedøre,2020-01-07,2,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-261,MQ201019,LIB-Avedore-LT-51,51630,"",Winter,LT3,AS,"",Avedøre,2020-01-22,4,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-262,MQ201019,LIB-Avedore-LT-53,51326,"",Winter,LT3,AS,"",Avedøre,2020-02-04,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-263,MQ201019,LIB-Avedore-LT-55,54069,"",Winter,LT3,AS,"",Avedøre,2020-02-19,8,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-264,MQ201019,LIB-Avedore-LT-57,48970,"",Winter,LT3,AS,"",Avedøre,2020-02-27,9,2020,,"","","","","","",,,,,,,,,,,"",,
