Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-113,MQ190702,LIB-Aalborg-W-LT-539,72136,,Spring,Activated sludge,,Aalborg W,2018-04-17,16,2018,,,,,,,,,,,,,,,,12.5
MQ190702-115,MQ190702,LIB-Aalborg-W-LT-543,64530,,Spring,Activated sludge,,Aalborg W,2018-05-01,18,2018,,,,,,,,,,,,,,,,
MQ190702-117,MQ190702,LIB-Aalborg-W-LT-547,68754,,Spring,Activated sludge,,Aalborg W,2018-05-17,20,2018,,,,,,,,,,,,,,,,15.5
MQ190702-119,MQ190702,LIB-Aalborg-W-LT-553,66533,,Spring,Activated sludge,,Aalborg W,2018-06-06,23,2018,,,,,,,,,,,,,,,,17.7
MQ190702-121,MQ190702,LIB-Aalborg-W-LT-557,49783,,Summer,Activated sludge,,Aalborg W,2018-06-19,25,2018,,,,,,,,,,,,,,,,155
MQ190702-123,MQ190702,LIB-Aalborg-W-LT-561,23098,,Summer,Activated sludge,,Aalborg W,2018-06-26,26,2018,,,,,,,,,,,,,,,,18.4
MQ190702-125,MQ190702,LIB-Aalborg-W-LT-565,49408,,Summer,Activated sludge,,Aalborg W,2018-07-03,27,2018,,,,,,,,,,,,,,,,
MQ190702-127,MQ190702,LIB-Aalborg-W-LT-569,44775,,Summer,Activated sludge,,Aalborg W,2018-07-10,28,2018,,,,,,,,,,,,,,,,19.3
MQ190702-129,MQ190702,LIB-Aalborg-W-LT-573,65898,,Summer,Activated sludge,,Aalborg W,2018-07-17,29,2018,,,,,,,,,,,,,,,,19.2
MQ190702-131,MQ190702,LIB-Aalborg-W-LT-577,51998,,Summer,Activated sludge,,Aalborg W,2018-07-31,31,2018,,,,,,,,,,,,,,,,
MQ190702-133,MQ190702,LIB-Aalborg-W-LT-581,66621,,Summer,Activated sludge,,Aalborg W,2018-08-07,32,2018,,,,,,,,,,,,,,,,
MQ190702-135,MQ190702,LIB-Aalborg-W-LT-585,68860,,Summer,Activated sludge,,Aalborg W,2018-08-14,33,2018,,,,,,,,,,,,,,,,
MQ190702-137,MQ190702,LIB-Aalborg-W-LT-589,59221,,Summer,Activated sludge,,Aalborg W,2018-08-21,34,2018,,,,,,,,,,,,,,,,17.8
MQ190702-139,MQ190702,LIB-Aalborg-W-LT-593,49876,,Summer,Activated sludge,,Aalborg W,2018-08-28,35,2018,,,,,,,,,,,,,,,,18.2
MQ190702-141,MQ190702,LIB-Aalborg-W-LT-597,62978,,Summer,Activated sludge,,Aalborg W,2018-09-04,36,2018,,,,,,,,,,,,,,,,19
