Date	Temperature_C	inflow_m3d	SS_kgm3
21/03/2018	10.16	83932	3.45
22/03/2018	9.53	146497	3.11
23/03/2018	9.27	77572	3.3
24/03/2018	9.82	75456	3.32
25/03/2018	10.44	70776	3.26
26/03/2018	10.72	95563	3.56
27/03/2018	9.87	81410	3.26
28/03/2018	9.53	84637	3.01
29/03/2018	9.37	95241	3.17
30/03/2018	9.63	69923	3.33
31/03/2018	9.76	65783	3.22
01/04/2018	9.84	66720	3.17
02/04/2018	10.31	66552	3.1
03/04/2018	10.07	127807	2.93
04/04/2018	10.19	89946	2.9
05/04/2018	10.6	72550	3.13
06/04/2018	10.85	64592	2.99
07/04/2018	11.19	65260	3.01
08/04/2018	11.77	65565	2.99
09/04/2018	12.24	63702	2.92
10/04/2018	12.24	61606	2.94
11/04/2018	12.07	61533	3
12/04/2018	12.1	60830	3.04
13/04/2018	12.29	58916	3.34
14/04/2018	12.52	58423	3.15
15/04/2018	12.55	60883	3.22
16/04/2018	12.81	58027	3.37
17/04/2018	13.07	56190	3.3
18/04/2018	13.49	56780	3.32
19/04/2018	13.9	55905	3.15
20/04/2018	14.15	56793	3.13
21/04/2018	14.1	54862	3.16
22/04/2018	14.06	56540	3.18
23/04/2018	14.03	52257	3.27
24/04/2018	13.78	55813	3.3
25/04/2018	12.72	159902	3.58
26/04/2018	12.09	132196	3.56
27/04/2018	12.2	62852	3.33
28/04/2018	13.07	61677	3.34
29/04/2018	13.57	53961	3.35
30/04/2018	13.82	97857	3.3
01/05/2018	13.28	64434	3.09
02/05/2018	13.6	55067	3.2
03/05/2018	13.93	53233	3.08
04/05/2018	14.18	52140	2.98
05/05/2018	14.54	50690	3.03
06/05/2018	14.91	52247	3.04
07/05/2018	15.25	52100	2.92
08/05/2018	15.5	52191	2.86
09/05/2018	15.74	50516	2.78
10/05/2018	15.93	61041	2.89
11/05/2018	15.86	47871	2.83
12/05/2018	15.87	47736	2.79
13/05/2018	16.01	48761	2.84
14/05/2018	16.28	49722	2.81
15/05/2018	16.46	48645	2.9
16/05/2018	16.7	49140	3.27
17/05/2018	16.86	48685	3.57
18/05/2018	16.96	49546	3.61
19/05/2018	16.72	57046	3.42
20/05/2018	16.71	45624	3.33
21/05/2018	16.6	47836	3.21
22/05/2018	16.82	47912	3.07
23/05/2018	17.18	48374	3.04
24/05/2018	17.43	46409	3.37
25/05/2018	17.57	46219	3.55
26/05/2018	17.52	87313	3.75
27/05/2018	17.63	46436	3.72
28/05/2018	17.15	110684	4.01
29/05/2018	17.55	48063	3.74
30/05/2018	18.05	47404	4
31/05/2018	18.24	45935	3.8
01/06/2018	18.53	45975	3.9
02/06/2018	18.82	44562	3.85
03/06/2018	19.15	45315	3.82
04/06/2018	19.27	45323	3.93
05/06/2018	19.15	45968	4.07
06/06/2018	19.06	44835	4.23
07/06/2018	19.11	45440	4.23
08/06/2018	19.31	44244	4.47
09/06/2018	19.47	42416	4.67
10/06/2018	19.33	43692	4.89
11/06/2018	18.87	42862	4.84
12/06/2018	18.93	46618	4.89
13/06/2018	18.96	43645	4.81
14/06/2018	19.05	44175	4.75
15/06/2018	19.26	42807	4.75
16/06/2018	19.11	81847	5.13
17/06/2018	18.86	101750	5.71
18/06/2018	18.99	39956	5.48
19/06/2018	19.07	47803	5.38
20/06/2018	19.15	43165	5.17
21/06/2018	18.71	60684	5.15
22/06/2018	16.8	175490	5.1
23/06/2018	16.3	42806	4.45
24/06/2018	17.28	43544	4.57
25/06/2018	18.18	43575	4.47
26/06/2018	18.97	43648	4.34
27/06/2018	19.48	43087	4.34
28/06/2018	19.88	42826	4.17
29/06/2018	19.99	42350	4.32
30/06/2018	19.87	39766	3.89
01/07/2018	19.82	40339	3.75
02/07/2018	19.76	40766	3.74
03/07/2018	19.96	40727	3.7
04/07/2018	20.31	38814	3.78
05/07/2018	19.85	40279	3.96
06/07/2018	19.79	38361	3.92
07/07/2018	20.07	36959	3.82
08/07/2018	20.43	37857	3.76
09/07/2018	20.25	37689	3.7
10/07/2018	20.06	58849	3.64
11/07/2018	20.29	37749	3.93
12/07/2018	20.68	37454	3.83
13/07/2018	20.92	37850	3.89
14/07/2018	20.78	35471	3.91
15/07/2018	20.81	35656	3.93
16/07/2018	21.13	35982	3.82
17/07/2018	20.92	55186	3.68
18/07/2018	20.63	67221	3.84
19/07/2018	20.61	35898	4.19
