Date	Temperature_C	inflow_m3d	SS_kgm3
22/09/2017	17.02	66308	3.2
23/09/2017	17.25	62600	3.4
24/09/2017	17.52	63234	3.34
25/09/2017	17.62	60608	3.36
26/09/2017	17.7	58141	3.32
27/09/2017	17.72	56557	3.24
28/09/2017	17.49	145754	2.46
29/09/2017	16.08	129844	2.59
30/09/2017	15.98	60737	3.18
01/10/2017	16.35	60185	2.88
02/10/2017	15.69	239457	1.42
03/10/2017	15.26	107064	2.65
04/10/2017	15.38	127066	2.49
12/10/2017	15.86	86409	2.9
13/10/2017	15.94	66488	3.03
14/10/2017	16.41	63700	2.92
15/10/2017	16.67	63653	2.85
16/10/2017	16.74	61585	2.9
17/10/2017	16.6	60490	2.93
18/10/2017	16.51	102422	2.52
19/10/2017	16.04	72923	2.85
20/10/2017	15.81	154253	2.67
21/10/2017	15.14	132710	2.22
22/10/2017	14.96	123388	2.52
23/10/2017	15.2	74933	3.02
24/10/2017	15.1	180852	2.29
25/10/2017	14.51	139938	2.29
26/10/2017	14.91	95330	2.96
27/10/2017	15.06	90440	3.11
28/10/2017	15	143399	2.91
29/10/2017	13.47	103985	2.82
30/10/2017	13.82	73627	3.15
31/10/2017	14.39	70199	3.11
01/11/2017	15.15	156220	2.43
02/11/2017	13.93	143031	2.15
03/11/2017	14.19	77212	3.11
04/11/2017	14.7	71908	3.11
05/11/2017	15.12	77894	3.04
06/11/2017	15.08	64791	3.08
07/11/2017	14.94	62235	3.12
08/11/2017	15.05	65271	3.12
09/11/2017	15.03	76174	3.14
10/11/2017	14.73	110838	2.84
11/11/2017	13.75	64790	3.17
12/11/2017	13.85	58968	3.23
13/11/2017	14	57057	3.24
14/11/2017	13.93	96993	2.65
15/11/2017	13.65	61176	3.23
16/11/2017	14.08	92352	3.09
17/11/2017	13.81	60145	3.15
18/11/2017	13.39	115500	2.62
19/11/2017	12.64	117428	2.86
20/11/2017	12.64	70043	3.27
21/11/2017	13	136468	2.72
22/11/2017	10.66	305764	0.95
23/11/2017	11.17	151524	2.1
24/11/2017	12.2	112381	3.12
25/11/2017	12.52	86116	3.28
26/11/2017	12.63	113530	3.04
27/11/2017	12.35	185827	2.01
28/11/2017	11.1	162414	2
29/11/2017	11.65	103364	2.91
30/11/2017	12.26	82918	3.14
01/12/2017	12.54	88544	3.08
02/12/2017	12.48	76432	3.24
03/12/2017	12.41	103967	2.99
04/12/2017	12.34	73672	3.38
05/12/2017	12.65	73263	3.41
06/12/2017	12.55	130316	2.5
07/12/2017	12.31	114306	3.26
08/12/2017	11.95	77225	3.56
09/12/2017	11.91	72297	3.49
10/12/2017	12.04	72292	3.45
11/12/2017	12.15	132969	2.44
12/12/2017	10.08	156534	2.45
13/12/2017	10.47	126646	2.79
14/12/2017	10.1	178925	2.11
15/12/2017	10.68	95086	3.47
16/12/2017	11.36	86699	3.41
17/12/2017	11.68	79164	3.4
18/12/2017	11.92	77282	3.39
19/12/2017	12.18	72119	3.37
20/12/2017	12.37	75208	3.36
21/12/2017	12.37	70327	3.36
22/12/2017	12.39	78212	3.02
23/12/2017	12.43	66604	3.38
24/12/2017	12.24	138334	2.87
25/12/2017	11.7	86808	3.16
26/12/2017	11.52	79861	3.25
27/12/2017	11.68	89295	3.12
28/12/2017	11.77	67459	3.55
29/12/2017	11.83	63930	3.56
30/12/2017	11.59	155773	2.7
31/12/2017	10.74	125379	3.17
01/01/2018	10.8	108599	2.94
02/01/2018	11.05	80766	3.36
03/01/2018	9.7	321119	1.47
04/01/2018	9.32	203640	1.54
05/01/2018	9.93	127590	2.71
06/01/2018	10.29	127871	2.82
07/01/2018	10.37	91526	3.34
08/01/2018	10.94	87831	3.26
09/01/2018	11.04	87722	3.2
10/01/2018	11.06	114993	3.05
11/01/2018	11.1	84980	3.3
12/01/2018	11.17	72637	3.3
13/01/2018	11.1	71178	3.29
14/01/2018	10.98	71450	3.25
15/01/2018	10.93	111374	2.82
16/01/2018	10.21	111297	2.81
17/01/2018	10.29	73085	3.23
18/01/2018	10.92	80406	3.16
19/01/2018	11.25	78520	3.19
20/01/2018	11.38	68287	3.25
21/01/2018	11.51	66081	3.36
22/01/2018	11.55	65319	3.38
23/01/2018	11.57	112780	2.95
24/01/2018	10.92	94720	3.31
25/01/2018	11.19	68025	3.45
26/01/2018	11.63	63440	3.44
27/01/2018	11.86	124079	2.68
28/01/2018	10.42	82878	3.04
29/01/2018	10.84	97762	3.03
30/01/2018	11	69559	3.18
31/01/2018	10.7	174314	2.02
01/02/2018	9.89	92077	3.34
02/02/2018	10.37	125431	3.11
03/02/2018	10.22	79208	3.48
04/02/2018	10.58	75860	3.29
05/02/2018	10.78	71906	3.24
06/02/2018	10.85	70760	3.31
07/02/2018	10.71	67867	3.35
08/02/2018	10.86	67417	3.39
09/02/2018	10.84	64589	3.44
10/02/2018	10.92	62808	3.52
11/02/2018	10.94	83347	3.36
12/02/2018	10.63	62601	3.59
13/02/2018	10.81	59129	3.47
14/02/2018	10.99	58221	3.33
15/02/2018	10.83	64104	3.22
16/02/2018	11.07	67712	3.02
17/02/2018	11.26	57463	3.11
18/02/2018	11.43	57762	3.18
19/02/2018	11.59	57984	3.22
20/02/2018	11.67	57554	3.3
21/02/2018	11.79	56651	3.26
22/02/2018	11.66	54646	3.46
23/02/2018	11.41	54865	3.53
24/02/2018	11.12	55129	3.6
25/02/2018	10.81	55394	3.67
26/02/2018	10.52	54642	3.68
27/02/2018	10.09	54665	3.53
28/02/2018	9.59	52979	3.24
01/03/2018	9.64	53360	3.07
02/03/2018	9.99	57152	3.25
03/03/2018	10.3	57304	3.41
04/03/2018	10.42	55983	3.56
05/03/2018	10.47	62942	3.34
06/03/2018	10.54	91797	3.44
07/03/2018	10.18	88168	3.73
08/03/2018	9.99	174920	2.73
09/03/2018	7.66	165501	3.1
10/03/2018	8.21	93115	3.97
11/03/2018	8.91	115549	3.62
12/03/2018	9.21	329764	2.62
13/03/2018	7.79	280454	2.07
14/03/2018	8.37	141322	2.89
15/03/2018	8.73	105397	3.66
16/03/2018	8.77	95839	3.89
17/03/2018	8.84	90077	3.83
18/03/2018	9.33	84327	3.84
19/03/2018	9.87	79768	3.8
20/03/2018	10.1	89317	3.63
21/03/2018	10.16	83932	3.81
22/03/2018	9.53	146497	3.06
23/03/2018	9.27	77572	3.72
24/03/2018	9.82	75456	3.7
25/03/2018	10.44	70776	3.65
26/03/2018	10.72	95563	3.51
27/03/2018	9.87	81410	3.38
28/03/2018	9.53	84637	3.39
29/03/2018	9.37	95241	3.28
30/03/2018	9.63	69923	3.57
31/03/2018	9.76	65783	3.54
01/04/2018	9.84	66720	3.44
02/04/2018	10.31	66552	3.45
03/04/2018	10.07	127807	3.05
04/04/2018	10.19	89946	3
05/04/2018	10.6	72550	3.54
06/04/2018	10.85	64592	3.57
07/04/2018	11.19	65260	3.49
08/04/2018	11.77	65565	3.42
09/04/2018	12.24	63702	3.42
10/04/2018	12.24	61606	3.26
11/04/2018	12.07	61533	3.34
12/04/2018	12.1	60830	3.36
13/04/2018	12.29	58916	3.28
14/04/2018	12.52	58423	3.3
15/04/2018	12.55	60883	3.24
16/04/2018	12.81	58027	3.21
17/04/2018	13.07	56190	3.26
18/04/2018	13.49	56780	3.1
19/04/2018	13.9	55905	3.14
20/04/2018	14.15	56793	3.09
21/04/2018	14.1	54862	3.05
22/04/2018	14.06	56540	3
23/04/2018	14.03	52257	3.07
24/04/2018	13.78	55813	3.09
25/04/2018	12.72	159902	2.43
26/04/2018	12.09	132196	2.64
27/04/2018	12.2	62852	3.37
28/04/2018	13.07	61677	3.26
29/04/2018	13.57	53961	3.31
30/04/2018	13.82	97857	3.05
01/05/2018	13.28	64434	3.17
02/05/2018	13.6	55067	3.31
03/05/2018	13.93	53233	3.34
04/05/2018	14.18	52140	3.32
05/05/2018	14.54	50690	3.33
06/05/2018	14.91	52247	3.33
07/05/2018	15.25	52100	3.33
08/05/2018	15.5	52191	3.36
09/05/2018	15.74	50516	3.48
10/05/2018	15.93	61041	3.25
11/05/2018	15.86	47871	3.46
12/05/2018	15.87	47736	3.55
13/05/2018	16.01	48761	3.54
14/05/2018	16.28	49722	3.54
15/05/2018	16.46	48645	3.5
16/05/2018	16.7	49140	3.66
17/05/2018	16.86	48685	3.65
18/05/2018	16.96	49546	3.52
19/05/2018	16.72	57046	3.25
20/05/2018	16.71	45624	3.66
21/05/2018	16.6	47836	3.65
22/05/2018	16.82	47912	3.69
23/05/2018	17.18	48374	3.72
24/05/2018	17.43	46409	3.66
25/05/2018	17.57	46219	3.79
26/05/2018	17.52	87313	3.38
27/05/2018	17.63	46436	4.11
28/05/2018	17.15	110684	3.85
29/05/2018	17.55	48063	4.58
30/05/2018	18.05	47404	4.68
31/05/2018	18.24	45935	4.72
01/06/2018	18.53	45975	4.82
02/06/2018	18.82	44562	4.89
03/06/2018	19.15	45315	4.89
04/06/2018	19.27	45323	4.93
05/06/2018	19.15	45968	4.89
06/06/2018	19.06	44835	4.9
07/06/2018	19.11	45440	4.77
08/06/2018	19.31	44244	4.83
09/06/2018	19.47	42416	4.82
10/06/2018	19.33	43692	4.81
11/06/2018	18.87	42862	3.99
12/06/2018	18.93	46618	3.52
13/06/2018	18.96	43645	3.47
14/06/2018	19.05	44175	3.38
15/06/2018	19.26	42807	3.53
16/06/2018	19.11	81847	3.42
17/06/2018	18.86	101750	3.29
18/06/2018	18.99	39956	3.91
19/06/2018	19.07	47803	3.66
20/06/2018	19.15	43165	3.67
21/06/2018	18.71	60684	3.64
22/06/2018	16.8	175490	2.63
23/06/2018	16.3	42806	3.75
24/06/2018	17.28	43544	4.23
25/06/2018	18.18	43575	4.34
26/06/2018	18.97	43648	4.61
27/06/2018	19.48	43087	4.63
28/06/2018	19.88	42826	4.55
29/06/2018	19.99	42350	4.33
30/06/2018	19.87	39766	4.21
01/07/2018	19.82	40339	4.11
02/07/2018	19.76	40766	4.08
03/07/2018	19.96	40727	3.84
04/07/2018	20.31	38814	4.01
05/07/2018	19.85	40279	4.16
06/07/2018	19.79	38361	4.08
07/07/2018	20.07	36959	3.91
08/07/2018	20.43	37857	3.75
09/07/2018	20.25	37689	3.39
10/07/2018	20.06	58849	3.22
11/07/2018	20.29	37749	3.52
12/07/2018	20.68	37454	3.69
13/07/2018	20.92	37850	3.66
14/07/2018	20.78	35471	3.66
15/07/2018	20.81	35656	3.65
16/07/2018	21.13	35982	3.87
17/07/2018	20.92	55186	3.87
18/07/2018	20.63	67221	3.65
19/07/2018	20.61	35898	4.16
20/07/2018	20.72	34737	4.12
21/07/2018	20.92	33480	3.95
22/07/2018	21.08	33946	3.69
23/07/2018	21.15	34867	3.48
24/07/2018	21.6	36308	3.34
25/07/2018	21.91	36329	3.24
26/07/2018	21.96	35952	3.16
27/07/2018	22.13	36021	3.12
28/07/2018	22.28	37194	2.92
29/07/2018	22.15	35773	3.23
30/07/2018	22.16	37149	3.19
31/07/2018	22.19	36989	3.21
01/08/2018	21.71	104296	2.94
02/08/2018	21.86	36982	4.24
03/08/2018	22.1	37698	4.11
04/08/2018	22.1	39379	4.07
05/08/2018	21.5	37503	4.07
06/08/2018	21.39	38668	3.95
07/08/2018	21.68	39515	3.76
08/08/2018	21.85	40187	3.7
09/08/2018	21.96	147892	2.99
10/08/2018	20.64	125818	2.99
11/08/2018	20.33	95602	3.13
12/08/2018	19.64	214654	2.68
13/08/2018	18.28	173573	2.26
14/08/2018	18.88	124893	3.01
15/08/2018	19.61	65288	3.56
16/08/2018	20.32	48266	3.47
17/08/2018	20.54	61115	3.36
18/08/2018	20.52	41454	3.61
19/08/2018	20.52	42748	3.5
20/08/2018	20.55	43777	3.45
21/08/2018	20.5	43123	3.38
22/08/2018	20.7	42726	3.31
23/08/2018	21	41686	3.22
24/08/2018	20.15	119930	2.49
25/08/2018	19.19	116212	2.64
26/08/2018	18.48	46908	3.27
27/08/2018	18.31	195363	2.69
28/08/2018	18.02	60770	3.76
29/08/2018	18.69	56524	3.43
30/08/2018	18.87	214396	2.05
31/08/2018	18.77	67731	3.31
01/09/2018	19.11	45406	3.5
02/09/2018	19.59	45654	3.41
03/09/2018	19.95	45730	3.42
04/09/2018	20.18	44753	3.35
05/09/2018	20.38	45837	3.21
06/09/2018	20.43	45390	3.12
07/09/2018	20.19	50894	2.97
08/09/2018	19.75	42592	3.07
09/09/2018	19.75	43698	3.03
10/09/2018	19.81	43255	3.07
11/09/2018	19.49	71333	2.88
12/09/2018	19.04	49945	3.4
13/09/2018	19.04	42853	3.36
14/09/2018	19.14	43286	3.3
15/09/2018	19.07	48584	3.25
16/09/2018	19.01	43032	3.43
17/09/2018	19.2	42497	3.43
18/09/2018	19.56	39954	3.35
19/09/2018	19.79	41355	3.25
20/09/2018	19.87	40291	3.17
21/09/2018	19.53	58463	2.89
22/09/2018	18.62	58341	2.93
23/09/2018	18.06	44201	2.85
24/09/2018	16.94	124618	2.28
25/09/2018	16.05	46588	3.14
26/09/2018	16.47	44277	3.09
27/09/2018	17.34	46767	3
28/09/2018	17.55	44265	2.89
29/09/2018	17.56	44148	2.92
30/09/2018	17.71	46008	2.96
01/10/2018	17.87	44981	2.97
02/10/2018	17.46	65124	2.87
03/10/2018	17.01	65004	3.01
04/10/2018	17.01	48810	3.19
05/10/2018	17.57	48807	3.11
06/10/2018	17.92	97219	2.75
07/10/2018	16.09	100802	2.82
08/10/2018	15.78	45912	3.2
09/10/2018	16.58	44761	3.19
10/10/2018	17.31	44276	3.16
11/10/2018	17.7	44118	3.11
12/10/2018	17.95	41610	3.19
13/10/2018	18.19	39835	3.25
14/10/2018	18.09	38950	3.27
15/10/2018	18.05	41756	3.22
16/10/2018	18.18	53080	3.28
17/10/2018	18.35	43912	3.45
18/10/2018	18.24	42768	3.53
19/10/2018	17.89	41718	3.52
20/10/2018	17.64	42882	3.47
21/10/2018	17.57	44388	3.43
22/10/2018	17.33	90555	3.07
23/10/2018	14.74	164494	2.44
24/10/2018	14.2	83039	3.5
25/10/2018	14.92	52688	3.47
26/10/2018	15.14	85380	3.46
