Date	Temperature_C	inflow_m3d	SS_kgm3
20/09/2017	16.55	78111	3.55
21/09/2017	16.91	71916	3.45
22/09/2017	17.02	66308	3.52
23/09/2017	17.25	62600	3.58
24/09/2017	17.52	63234	3.58
25/09/2017	17.62	60608	3.63
26/09/2017	17.7	58141	3.6
27/09/2017	17.72	56557	3.55
28/09/2017	17.49	145754	3.18
29/09/2017	16.08	129844	2.78
30/09/2017	15.98	60737	3.43
01/10/2017	16.35	60185	3.39
02/10/2017	15.69	239457	2.09
03/10/2017	15.26	107064	2.94
04/10/2017	15.38	127066	2.79
12/10/2017	15.86	86409	4.21
13/10/2017	15.94	66488	3.41
14/10/2017	16.41	63700	3.33
15/10/2017	16.67	63653	3.27
16/10/2017	16.74	61585	3.36
17/10/2017	16.6	60490	3.33
18/10/2017	16.51	102422	3.06
19/10/2017	16.04	72923	3.2
20/10/2017	15.81	154253	2.54
21/10/2017	15.14	132710	2.98
22/10/2017	14.96	123388	2.85
23/10/2017	15.2	74933	2.91
24/10/2017	15.1	180852	2.31
25/10/2017	14.51	139938	2.5
26/10/2017	14.91	95330	2.68
27/10/2017	15.06	90440	3.14
28/10/2017	15	143399	2.43
29/10/2017	13.47	103985	3.16
30/10/2017	13.82	73627	3.38
31/10/2017	14.39	70199	3.38
01/11/2017	15.15	156220	2.99
02/11/2017	13.93	143031	2.32
03/11/2017	14.19	77212	3.24
04/11/2017	14.7	71908	3.32
05/11/2017	15.12	77894	3.34
06/11/2017	15.08	64791	3.21
07/11/2017	14.94	62235	3.19
08/11/2017	15.05	65271	3.33
09/11/2017	15.03	76174	3.18
10/11/2017	14.73	110838	3.08
11/11/2017	13.75	64790	3.73
12/11/2017	13.85	58968	3.8
13/11/2017	14	57057	3.7
14/11/2017	13.93	96993	3.25
15/11/2017	13.65	61176	3.59
16/11/2017	14.08	92352	3.11
17/11/2017	13.81	60145	3.37
18/11/2017	13.39	115500	2.75
19/11/2017	12.64	117428	2.63
20/11/2017	12.64	70043	3.25
21/11/2017	13	136468	2.98
22/11/2017	10.66	305764	1.33
23/11/2017	11.17	151524	2.47
24/11/2017	12.2	112381	3.1
25/11/2017	12.52	86116	3.53
26/11/2017	12.63	113530	3.24
27/11/2017	12.35	185827	2.49
28/11/2017	11.1	162414	2.02
29/11/2017	11.65	103364	3.4
30/11/2017	12.26	82918	3.52
01/12/2017	12.54	88544	3.44
02/12/2017	12.48	76432	3.38
03/12/2017	12.41	103967	3.04
04/12/2017	12.34	73672	3.34
05/12/2017	12.65	73263	3.41
06/12/2017	12.55	130316	2.82
07/12/2017	12.31	114306	3.04
08/12/2017	11.95	77225	3.62
09/12/2017	11.91	72297	3.68
10/12/2017	12.04	72292	3.68
11/12/2017	12.15	132969	2.79
12/12/2017	10.08	156534	4.28
13/12/2017	10.47	126646	3.16
14/12/2017	10.1	178925	2.39
15/12/2017	10.68	95086	3.46
16/12/2017	11.36	86699	3.68
17/12/2017	11.68	79164	3.69
18/12/2017	11.92	77282	3.62
19/12/2017	12.18	72119	3.58
20/12/2017	12.37	75208	3.58
21/12/2017	12.37	70327	3.46
22/12/2017	12.39	78212	2.71
23/12/2017	12.43	66604	2.98
24/12/2017	12.24	138334	2.31
25/12/2017	11.7	86808	2.71
26/12/2017	11.52	79861	2.82
27/12/2017	11.68	89295	2.73
28/12/2017	11.77	67459	3.06
29/12/2017	11.83	63930	3.33
30/12/2017	11.59	155773	2.52
31/12/2017	10.74	125379	2.41
01/01/2018	10.8	108599	1.89
02/01/2018	11.05	80766	2.62
03/01/2018	9.7	321119	1
04/01/2018	9.32	203640	1.72
05/01/2018	9.93	127590	2.64
06/01/2018	10.29	127871	2.55
07/01/2018	10.37	91526	2.95
08/01/2018	10.94	87831	2.97
09/01/2018	11.04	87722	2.97
10/01/2018	11.06	114993	3.32
11/01/2018	11.1	84980	3.13
12/01/2018	11.17	72637	3.21
13/01/2018	11.1	71178	3.11
14/01/2018	10.98	71450	3.04
15/01/2018	10.93	111374	2.58
16/01/2018	10.21	111297	1.41
17/01/2018	10.29	73085	2.63
18/01/2018	10.92	80406	2.88
19/01/2018	11.25	78520	3
20/01/2018	11.38	68287	3.08
21/01/2018	11.51	66081	3.2
22/01/2018	11.55	65319	3.25
23/01/2018	11.57	112780	2.71
24/01/2018	10.92	94720	2.84
25/01/2018	11.19	68025	3.2
26/01/2018	11.63	63440	3.32
27/01/2018	11.86	124079	3.16
28/01/2018	10.42	82878	2.99
29/01/2018	10.84	97762	2.88
30/01/2018	11	69559	2.47
31/01/2018	10.7	174314	1.83
