Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Ottowia,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na
g__Gemmobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Thiothrix,"Eikelboom Type 021N group I, II, III",Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,pos,na,neg,na,na,na,na,na,na,pos,pos,neg,pos,na,pos,pos,pos,neg,na
g__Thermovirga,"",Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na
g__Neomegalonema,"Eikelboom type 021N-like,Meganema",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,neg,na,var,neg,var,neg,neg,neg,na,na,na,neg,pos,na,pos,pos,pos,na,pos,pos,pos,na
g__Lactococcus,"*Streptococcus lactis* , *S. garvieae* , *S. plantarum* , S. raffinolactis *,* Lactobacillus xylosus *,L. hordniae*",Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,na,na,pos,pos,na,pos,var,var,na,var
g__Phreatobacter,Rasbo,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
g__IMCC26207,*Candida* Limnosphaera aquatica,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Mycobacterium,"",Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,na,na,na,var,na,pos
g__Comamonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,neg,na,pos,na,na,na,na
g__Mesorhizobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Sphingobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Amaricoccus,Tetracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,neg,neg,na,na
