Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
Methanoculleus,"*Methanoculleus* , *Methanogenium marisnigri* , *M. thermophilicum* , *M. olentangyi* , *M. frittonii*",Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,na,na,na,pos,na,neg,na,na
Simplicispira,"*Simplicispira metamorpha* , *S. psychrophila*",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,pos
Blastocatella,AK1DE1,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,neg,na,na,na,na,na,neg,na,var,na,pos,na,var,na,na
Dethiobacter,"",Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na
Limnobacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,neg,na,pos,na,neg,na,pos
Nannocystis,"",Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na
Brachymonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,na,na,na,na,na
Leptonema,"",Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pedomicrobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Phaeodactylibacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,neg,na,pos,na,na,na,na,na,na,na,neg,na,na,na,na,na,na
Hahella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
SC103,"",Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Phenylobacterium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,var,na,var,na,var,na,na,na,na
Ilumatobacter,"",Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrimonas,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
Acinetobacter,Eikelboom Type 1863,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,na,na,na,na,na,na,pos,pos,neg,neg,neg,neg,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,var,var,na,pos
Caenimonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Bryobacter,"",Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
Methanolinea,"",Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,var,na,na
Anaeromyxobacter,"",Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
