Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
oc32,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cloacibacterium,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,pos,na,na,na,neg,na,neg,na,pos,na,pos,na,var,na,na
Leptotrichia,"",Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,var,na,na
Lysobacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Methanobacterium,"",Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,var,na,neg
Aetherobacter,"",Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Anaerolinea,"",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,neg,na,pos,na,neg,na,na,na,neg,na,pos,na,pos,na,pos,na,na
Pedobacter,"",Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,var,na,na,na,na
Roseomonas,"",Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Corynebacterium,Corynebacterium 1,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,na,na,na,na,na,na,na,pos,na,pos,na,na,na,pos,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,pos
Turicibacter,"",Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,pos,na,na
Bauldia,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Jatrophihabitans,"",Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Arenimonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na
Atopobium,"",Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Demequina,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Dialister,"",Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na
Eubacterium,"",Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Enhydrobacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Lachnospiraceae NK4A136 group,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Lactivibrio,"",Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
Acholeplasma,"",Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Labrys,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Macellibacteroides,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Kineosporia,"",Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Lactobacillus,"",Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Methanothermobacter,*Methanobacterium*,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermobacteriaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,var,na,na
Actinomyces,"",Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,var,na,var
Fusibacter,"",Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Dongia,"",Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Luteimonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,neg,na,na,na,na,na,var,na,var,na,var,na,na,na,na
Acidaminococcus,"",Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na
Methylotenera,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cellvibrio,"",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Georgenia,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Bogoriellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Anaerostipes,*Eubacterium hadrum*,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,var,na,na
Gemmata,"",Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,na,na,na
Bdellovibrio,"",Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Acetobacterium,"",Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Ca_Paracaedibacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hyphomonas,"",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na
Fusicatenibacter,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Aeromonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na
Dorea,*Eubacterium formicigenerans*,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,neg,na,var,na,na
Fluviicola,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,var,na,na
Cellulosilyticum,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Kaistia,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
Halioglobus,"",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Psychrobacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Bythopirellula,"",Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Leifsonia,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,var,na,na
Bosea,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,na,na,var,na,na,na,na,na,na
Lachnospiraceae UCG-004,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Leuconostoc,"",Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Ca_Desulforudis,"",Bacteria,Firmicutes,Desulfotomaculia,Ammonifexales,Desulforudaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Herpetosiphon,"",Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na
Cephaloticoccus,"",Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Hirschia,"",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Agathobacter,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Laribacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Aquaspirillaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na
Bacteroides,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Chryseobacterium,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,var,na,na
Aridibacter,"",Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
Ca_Nostocoida,Nostocoida limicola type III,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na
LNR A2-18,"",Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Blastochloris,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,pos,na,na,na,na,na,na
Diaminobutyricimonas,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Mariniphaga,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Hoeflea,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,pos,na,na,na,na,na,na
Curvibacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Flavitalea,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Acidipropionibacterium,*Propionibacterium*,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Defluviitalea,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Defluviitoga,"",Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,var,na,na
Aquicella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na
Cutibacterium,*Propionibacterium*,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Armatimonas,"",Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Fervidobacterium,"",Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Desulforhabdus,"",Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na
Bellilinea,"",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,na,na,pos,na,na
Gaiella,"",Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Aquincola,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,var,na,pos,na,na,na,na
Lachnospiraceae NK3A20 group,"",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Megasphaera,"",Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,var,na,na,na,na,na,na
Flexilinea,"",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,neg,na,na,na,pos,na,na
Levilinea,"",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,neg,na,neg,na,pos,na,na,na,pos,na,na
Lachnoclostridium,"*Clostridia* , *Desulfotomaculum guttoideum* , *Eubacterium contortum* , *E. fissicatena* , *Ruminococcus torques*",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Ca_Hydrogenedens,"",Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ca_Anammoximicrobium,"",Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dehalobacterium,"",Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na
Azoarcus,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,pos,na,na,na,na,pos,var,pos,na,na,neg,na,na,na,na,na,pos,na,var,na,pos,na,na,na,na
Alterococcus,"",Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Arthrobacter,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Blautia,"*Clostridium coccoides* , *Streptococcus hansenii* / *Ruminococcus hansenii* , *Ruminococcus hydrogenotrophicus* , *Ruminococcus luti* , *Peptostreptococcus productus* , *Ruminococcus schinkii* , *Ruminococcus obeum*",Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,var,na,na,na,pos,na,pos,na,na,na,var,na,na
Desulfococcus,"",Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na
Fluviicoccus,"",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eubacterium nodatum group,"",Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Cryobacterium,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Aminiphilus,"",Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na
Fimbriiglobus,"",Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Ca_Methanofastidiosum,WCHA1-57,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,neg,na,na,na,na,na,na
Flavihumibacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Longilinea,"",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,pos,na,pos,na,na
Eggerthella,"",Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Erysipelothrix,"",Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,na,na,pos,na,na
Ca_Megaira,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ca_Solibacter,"",Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Aminobacterium,"",Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na
Nitrosospira,"Nitrosolobus,Nitrosovibrio",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,na,pos,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,neg,neg,na,na
Anaerofustis,"",Bacteria,Firmicutes,Clostridia,Eubacteriales,Anaerofustaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Inquilinus,"",Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Byssovorax,"Byssophaga, *Myxococcus cruentus*",Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,neg,na,neg,na,na
Leadbetterella,"",Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
