Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-143,MQ190702,LIB-Aalborg-W-LT-601,50072,"",pre-S::Select,"",Aalborg W,2018-09-11,37,2018,Summer,"","","","","","",,,,,,,,,17.5
MQ190702-144,MQ190702,LIB-Aalborg-W-LT-603,49768,"",pre-S::Select,"",Aalborg W,2018-09-14,37,2018,Summer,"","","","","","",,,,,,,,,17.5
MQ190702-145,MQ190702,LIB-Aalborg-W-LT-605,48784,"",pre-S::Select,"",Aalborg W,2018-09-18,38,2018,Fall,"","","","","","",,,,,,,,,17.4
MQ190702-146,MQ190702,LIB-Aalborg-W-LT-607,33537,"",pre-S::Select,"",Aalborg W,2018-09-21,38,2018,Fall,"","","","","","",,,,,,,,,17.4
MQ190702-147,MQ190702,LIB-Aalborg-W-LT-609,43322,"",pre-S::Select,"",Aalborg W,2018-09-24,39,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-148,MQ190702,LIB-Aalborg-W-LT-611,53381,"",pre-S::Select,"",Aalborg W,2018-09-28,39,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-149,MQ190702,LIB-Aalborg-W-LT-613,71615,"",pre-S::Select,"",Aalborg W,2018-10-03,40,2018,Fall,"","","","","","",,,,,,,,,16.2
MQ190702-150,MQ190702,LIB-Aalborg-W-LT-615,43720,"",pre-S::Select,"",Aalborg W,2018-10-05,40,2018,Fall,"","","","","","",,,,,,,,,16.2
MQ190702-151,MQ190702,LIB-Aalborg-W-LT-617,48655,"",pre-S::Select,"",Aalborg W,2018-10-09,41,2018,Fall,"","","","","","",,,,,,,,,16.2
MQ190702-152,MQ190702,LIB-Aalborg-W-LT-619,67391,"",pre-S::Select,"",Aalborg W,2018-10-12,41,2018,Fall,"","","","","","",,,,,,,,,16.2
MQ190702-153,MQ190702,LIB-Aalborg-W-LT-621,73189,"",pre-S::Select,"",Aalborg W,2018-10-16,42,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-154,MQ190702,LIB-Aalborg-W-LT-623,52194,"",pre-S::Select,"",Aalborg W,2018-10-19,42,2018,Fall,"","","","","","",,,,,,,,,
