Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-177,MQ181116,LIB-Fredericia-LT-190,,Fredericia-LT-190,Winter,LT,AS,"",Fredericia,2017-03-03,9,2017,,"","","","","","",,,,,,,37.51143531,12.36141907,,,"",,
MQ181116-178,MQ181116,LIB-Fredericia-LT-194,,Fredericia-LT-194,Winter,LT,AS,"",Fredericia,2017-03-06,10,2017,,"","","","","","",,,,,,,52.6927151,15.01408906,,,"",,
MQ181116-179,MQ181116,LIB-Fredericia-LT-200,,Fredericia-LT-200,Winter,LT,AS,"",Fredericia,2017-03-14,11,2017,,"","","","","","",,,,,,,36.59781405,16.05575573,,,"",,
MQ181116-180,MQ181116,LIB-Fredericia-LT-206,,Fredericia-LT-206,Spring,LT,AS,"",Fredericia,2017-04-04,14,2017,,"","","","","","",,,,,,,46.00847417,12.97810421,,,"",,
MQ181116-181,MQ181116,LIB-Fredericia-LT-210,,Fredericia-LT-210,Spring,LT,AS,"",Fredericia,2017-04-11,15,2017,,"","","","","","",,,,,,,27.06076364,14.6976626,,,"",,
MQ181116-182,MQ181116,LIB-Fredericia-LT-216,,Fredericia-LT-216,Spring,LT,AS,"",Fredericia,2017-04-21,16,2017,,"","","","","","",,,,,,,34.28667726,8.573540281,,,"",,
MQ181116-183,MQ181116,LIB-Fredericia-LT-218,,Fredericia-LT-218,Spring,LT,AS,"",Fredericia,2017-05-03,18,2017,,"","","","","","",,,,,,,36.01401127,7.557280118,,,"",,
MQ181116-184,MQ181116,LIB-Fredericia-LT-222,,Fredericia-LT-222,Spring,LT,AS,"",Fredericia,2017-05-09,19,2017,,"","","","","","",,,,,,,35.66011845,5.800766814,,,"",,
MQ181116-185,MQ181116,LIB-Fredericia-LT-226,,Fredericia-LT-226,Spring,LT,AS,"",Fredericia,2017-05-22,21,2017,,"","","","","","",,,,,,,32.2523954,3.152716186,,,"",,
MQ181116-186,MQ181116,LIB-Fredericia-LT-230,,Fredericia-LT-230,Spring,LT,AS,"",Fredericia,2017-06-14,24,2017,,"","","","","","",,,,,,,41.89055804,6.673826681,,,"",,
MQ181116-187,MQ181116,LIB-Fredericia-LT-234,,Fredericia-LT-234,Summer,LT,AS,"",Fredericia,2017-06-27,26,2017,,"","","","","","",,,,,,,39.79849776,5.517830746,,,"",,
MQ181116-188,MQ181116,LIB-Fredericia-LT-238,,Fredericia-LT-238,Summer,LT,AS,"",Fredericia,2017-07-11,28,2017,,"","","","","","",,,,,,,9.227695123,2.17456578,,,"",,
MQ181116-189,MQ181116,LIB-Fredericia-LT-240,,Fredericia-LT-240,Summer,LT,AS,"",Fredericia,2017-07-18,29,2017,,"","","","","","",,,,,,,9.183157591,5.773050628,,,"",,
MQ181116-190,MQ181116,LIB-Fredericia-LT-249,,Fredericia-LT-249,Summer,LT,AS,"",Fredericia,2017-07-25,30,2017,,"","","","","","",,,,,,,16.6124994,12.70440687,,,"",,
