Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210219-282,MQ210219,LIB-EgaLT-256,,"",Spring,"","",Egå,2019-05-06,19,2019,,"","","","","","",,,,,,,,,
MQ210219-283,MQ210219,LIB-EgaLT-259,,"",Spring,"","",Egå,2019-05-24,21,2019,,"","","","","","",,,,,,,,,
MQ210219-284,MQ210219,LIB-EgaLT-262,,"",Spring,"","",Egå,2019-06-06,23,2019,,"","","","","","",,,,,,,,,
MQ210219-285,MQ210219,LIB-EgaLT-265,,"",Summer,"","",Egå,2019-06-18,25,2019,,"","","","","","",,,,,,,,,
MQ210219-286,MQ210219,LIB-EgaLT-268,,"",Summer,"","",Egå,2019-07-01,27,2019,,"","","","","","",,,,,,,,,
MQ210219-287,MQ210219,LIB-EgaLT-271,,"",Summer,"","",Egå,2019-07-18,29,2019,,"","","","","","",,,,,,,,,
MQ210219-288,MQ210219,LIB-EgaLT-274,,"",Summer,"","",Egå,2019-08-02,31,2019,,"","","","","","",,,,,,,,,
MQ210219-289,MQ210219,LIB-EgaLT-277,,"",Summer,"","",Egå,2019-08-14,33,2019,,"","","","","","",,,,,,,,,
MQ210219-290,MQ210219,LIB-EgaLT-280,,"",Summer,"","",Egå,2019-08-27,35,2019,,"","","","","","",,,,,,,,,
MQ210219-291,MQ210219,LIB-EgaLT-313,,"",Summer,"","",Egå,2019-09-13,37,2019,,"","","","","","",,,,,,,,,
MQ210219-292,MQ210219,LIB-EgaLT-316,,"",Fall,"","",Egå,2019-09-27,39,2019,,"","","","","","",,,,,,,,,
MQ210219-293,MQ210219,LIB-EgaLT-318,,"",Fall,"","",Egå,2019-10-07,41,2019,,"","","","","","",,,,,,,,,
MQ210219-294,MQ210219,LIB-EgaLT-320,,"",Fall,"","",Egå,2019-10-24,43,2019,,"","","","","","",,,,,,,,,
MQ210219-295,MQ210219,LIB-EgaLT-322,,"",Fall,"","",Egå,2019-11-04,45,2019,,"","","","","","",,,,,,,,,
MQ210219-296,MQ210219,LIB-EgaLT-324,,"",Fall,"","",Egå,2019-11-18,47,2019,,"","","","","","",,,,,,,,,
MQ210219-297,MQ210219,LIB-EgaLT-326,,"",Fall,"","",Egå,2019-12-03,49,2019,,"","","","","","",,,,,,,,,
