ASV,Viborg 2019-47 AS,Viborg 2019-49 AS,Viborg 2019-52 AS,Viborg 2019-53 AS,Viborg 2020-2 AS,Viborg 2020-3 AS,Viborg 2020-4 AS,Viborg 2020-6 AS
ASV11581,1,0,0,0,0,0,0,0
ASV11669,2,5,5,7,31,36,45,50
ASV11758,0,0,1,0,0,0,2,0
ASV11761,0,0,0,0,0,0,0,0
ASV11803,0,1,0,0,2,0,1,0
ASV12066,21,8,15,23,36,12,3,0
ASV12113,0,0,0,0,0,0,1,0
ASV12165,0,0,0,0,0,0,0,0
ASV12580,0,0,0,0,3,2,0,0
ASV12728,0,1,0,2,2,0,0,0
ASV12833,29,39,31,53,62,35,25,4
ASV13163,0,0,0,0,0,0,0,0
ASV13862,0,0,0,0,0,0,0,0
ASV14783,0,0,1,0,0,1,2,0
ASV15417,0,0,0,1,0,0,0,0
ASV15728,0,0,0,0,0,0,0,0
ASV15961,1,0,0,0,1,0,0,0
ASV16981,0,0,0,0,1,0,0,0
ASV17011,0,0,0,1,1,0,0,0
ASV17422,0,0,0,0,0,0,0,0
ASV18170,0,1,0,1,7,1,1,1
ASV18363,0,0,1,0,0,0,0,0
ASV19054,0,0,0,0,1,0,0,0
ASV19178,1,0,0,0,0,0,1,0
ASV19632,0,1,0,1,2,1,0,0
ASV19845,0,0,0,0,0,0,0,0
ASV20063,0,0,0,0,1,0,0,0
ASV20981,0,0,0,0,0,0,0,0
ASV21624,0,0,0,1,0,0,0,0
ASV22171,0,0,0,0,0,0,1,0
ASV22344,0,0,0,0,0,0,0,0
ASV22396,0,0,0,0,0,0,0,0
ASV24112,0,0,0,0,1,0,0,0
ASV25212,0,0,0,0,0,0,0,0
ASV25260,0,0,0,0,0,0,0,0
ASV26386,0,0,0,0,0,0,1,0
ASV27254,1,0,0,0,1,0,0,0
ASV27280,0,0,0,0,0,0,1,0
ASV28911,0,0,0,0,0,0,0,0
ASV30926,0,2,0,2,1,2,3,2
ASV30933,0,0,0,0,0,0,0,0
ASV31406,0,0,0,0,0,0,0,0
ASV31954,0,0,0,0,0,0,0,0
ASV33420,0,0,0,0,0,0,0,0
ASV36113,0,0,0,0,0,0,0,0
ASV36435,0,0,0,0,0,0,0,0
ASV39011,0,0,0,0,0,0,0,0
ASV40287,0,1,0,0,0,0,0,0
ASV40534,0,0,1,0,0,0,0,0
ASV40548,0,0,0,0,0,0,0,0
ASV42003,0,0,0,0,0,0,0,0
ASV43917,0,1,0,0,0,0,0,0
ASV44406,1,0,0,0,0,0,0,0
ASV51748,0,0,0,0,0,0,0,0
ASV52166,0,0,0,0,0,0,0,0
ASV58619,0,0,0,0,0,0,0,0
ASV59296,0,0,0,0,0,0,0,0
ASV61814,0,1,0,0,0,0,1,0
ASV66534,0,0,0,0,0,0,0,0
ASV67501,0,0,0,0,0,0,0,0
ASV69417,0,0,0,0,0,1,0,0
ASV69599,0,0,0,0,0,0,0,0
ASV80844,0,0,0,0,0,0,0,0
ASV86301,0,0,0,0,0,0,0,0
ASV88705,0,0,0,0,0,0,0,0
ASV91932,0,0,0,0,0,0,0,0
ASV93678,1,0,0,0,0,0,0,0
ASV97044,0,0,0,0,0,0,0,0
ASV103127,0,0,0,0,0,0,0,0
ASV104366,0,0,0,0,0,0,0,0
ASV105703,0,0,2,0,0,1,0,0
ASV106008,0,0,0,0,0,0,0,0
ASV108102,1,0,0,4,5,2,0,3
ASV112928,0,0,0,0,0,0,0,0
ASV113946,0,0,0,0,0,0,0,0
ASV126436,0,0,0,0,0,0,0,0
ASV136780,0,0,1,0,0,0,0,0
ASV138035,12,24,42,42,192,59,48,22
ASV138043,44,78,72,24,26,103,87,72
ASV138067,0,0,1,0,2,1,0,1
newASV3,104,99,93,74,194,143,107,54
newASV24,4,0,0,2,2,4,3,1
newASV29,0,0,0,0,0,0,0,0
newASV66,0,0,0,0,0,0,0,0
newASV97,0,0,0,0,0,0,0,0
newASV109,0,0,0,0,0,0,0,0
newASV164,0,0,0,0,0,0,0,0
newASV209,0,0,0,0,0,0,0,0
newASV220,0,0,0,0,0,0,0,0
newASV261,52,62,54,58,87,49,31,19
newASV291,0,0,0,0,0,0,0,0
newASV317,0,0,0,0,0,0,0,0
newASV407,0,0,0,0,0,0,0,0
newASV424,0,0,0,0,0,0,0,0
newASV604,0,0,0,0,0,0,0,0
newASV761,0,0,0,0,0,0,0,0
newASV1179,0,0,0,0,0,0,0,0
newASV1310,0,0,0,0,1,0,0,0
newASV1495,0,0,0,0,0,0,0,0
newASV1780,24,12,26,16,54,16,25,7
newASV2435,0,0,0,0,0,0,0,0
