Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
midas_g_120,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Hyphomicrobium,POS,NEG,POS,VAR,NT,NT,NT,POS,NT,NT,VAR,NT,NEG,NT,NT,POS,POS,POS
Dokdonella,POS,NEG,NEG,NT,NT,NT,NT,POS,NT,NT,POS,NT,NEG,NT,NT,POS,POS,POS
Ca_Competibacter,POS,NEG,NT,NEG,NEG,NEG,NEG,POS,NEG,POS,POS,NEG,POS,NT,NEG,POS,NEG,NEG
Leucobacter,POS,NEG,POS,NT,NT,NT,NT,POS,NT,NT,VAR,NT,NEG,NT,NT,POS,POS,POS
midas_g_131,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Lautropia,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,VAR,NT,POS,NT,NT,NT,POS,NT
Smithella,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NEG,NT,NEG,NEG,POS,NEG,NT
Nitrosomonas,POS,NEG,NT,POS,POS,NEG,NT,POS,NT,NT,POS,NT,NT,NT,NT,POS,POS,NT
Proteiniclasticum,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NT,NEG,POS
midas_g_142,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Marmoricola,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT
Stenotrophobacter,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NEG,NT
midas_g_145,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Streptococcus,POS,VAR,VAR,NT,NT,NT,NT,POS,NT,NT,VAR,NT,POS,NT,NT,NEG,POS,POS
Legionella,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NEG,POS
Intestinibacter,POS,VAR,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,POS,POS,POS
midas_g_153,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Defluviimonas,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,VAR,NEG,POS,NT,NT,POS,POS,POS
midas_g_156,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Gordonia,POS,POS,POS,NT,NT,NT,NT,POS,NT,NT,VAR,VAR,NT,NT,NT,POS,POS,POS
