Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ221130-149,MQ221130,LIB-OdenseNV-LT-730,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-10-06,41,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-150,MQ221130,LIB-OdenseNV-LT-733,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-10-13,42,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-151,MQ221130,LIB-OdenseNV-LT-736,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-10-19,43,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-152,MQ221130,LIB-OdenseNV-LT-739,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-10-27,44,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-153,MQ221130,LIB-OdenseNV-LT-742,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-11-03,45,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-154,MQ221130,LIB-OdenseNV-LT-745,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-11-10,46,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-155,MQ221130,LIB-OdenseNV-LT-748,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-11-17,47,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-156,MQ221130,LIB-OdenseNV-LT-751,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-11-26,48,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-157,MQ221130,LIB-OdenseNV-LT-754,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-12-01,49,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-158,MQ221130,LIB-OdenseNV-LT-757,,"",Fall,LT,AS,Activated sludge,Odense NV,2020-12-08,50,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-159,MQ221130,LIB-OdenseNV-LT-760,,"",Winter,LT,AS,Activated sludge,Odense NV,2020-12-15,51,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-160,MQ221130,LIB-OdenseNV-LT-763,,"",Winter,LT,AS,Activated sludge,Odense NV,2020-12-22,52,2020,,"","","","","","",,,,,,,,,,,"",,
