Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-63,MQ190919,LIB-Damhusaen-LT-B-128_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-18,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-64,MQ190919,LIB-Damhusaen-LT-B-129,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-22,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-65,MQ190919,LIB-Damhusaen-LT-B-130_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-26,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-66,MQ190919,LIB-Damhusaen-LT-B-131,,"",Fall,B,AS,mean,Damhusåen-B,2018-10-30,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-67,MQ190919,LIB-Damhusaen-LT-B-132_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-01,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-68,MQ190919,LIB-Damhusaen-LT-B-133,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-08,45,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-69,MQ190919,LIB-Damhusaen-LT-B-134_Biofos,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-12,46,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-70,MQ190919,LIB-Damhusaen-LT-B-135,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-15,46,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-71,MQ190919,LIB-Damhusaen-LT-B-136,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-20,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-72,MQ190919,LIB-Damhusaen-LT-B-137,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-22,47,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-73,MQ190919,LIB-Damhusaen-LT-B-138,,"",Fall,B,AS,mean,Damhusåen-B,2018-11-27,48,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-74,MQ190919,LIB-Damhusaen-LT-B-139,,"",Fall,B,AS,mean,Damhusåen-B,2018-12-04,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-75,MQ190919,LIB-Damhusaen-LT-B-140,,"",Fall,B,AS,mean,Damhusåen-B,2018-12-06,49,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-76,MQ190919,LIB-Damhusaen-LT-B-141,,"",Fall,B,AS,mean,Damhusåen-B,2018-12-10,50,2018,,"","","","","","",,,,,,,,,,,"",,
