Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210129-112,MQ210129,LIB-MarselisborgLT-231,,"","","",Marselisborg,2020-01-03,1,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-113,MQ210129,LIB-MarselisborgLT-233,,"","","",Marselisborg,2020-01-14,3,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-114,MQ210129,LIB-MarselisborgLT-235,,"","","",Marselisborg,2020-01-30,5,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-115,MQ210129,LIB-MarselisborgLT-237,,"","","",Marselisborg,2020-03-02,10,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-116,MQ210129,LIB-MarselisborgLT-239,,"","","",Marselisborg,2020-02-10,7,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-117,MQ210129,LIB-MarselisborgLT-241,,"","","",Marselisborg,2020-02-24,9,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-118,MQ210129,LIB-MarselisborgLT-243,,"","","",Marselisborg,2020-03-10,11,2020,Winter,"","","","","","",,,,,,,,,
MQ210129-119,MQ210129,LIB-MarselisborgLT-245,,"","","",Marselisborg,2020-03-24,13,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-120,MQ210129,LIB-MarselisborgLT-247,,"","","",Marselisborg,2020-04-07,15,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-121,MQ210129,LIB-MarselisborgLT-249,,"","","",Marselisborg,2020-04-23,17,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-122,MQ210129,LIB-MarselisborgLT-251,,"","","",Marselisborg,2020-05-04,19,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-123,MQ210129,LIB-MarselisborgLT-253,,"","","",Marselisborg,2020-05-19,21,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-124,MQ210129,LIB-MarselisborgLT-255,,"","","",Marselisborg,2020-06-03,23,2020,Spring,"","","","","","",,,,,,,,,
MQ210129-125,MQ210129,LIB-MarselisborgLT-257,,"","","",Marselisborg,2020-06-19,25,2020,Summer,"","","","","","",,,,,,,,,
MQ210129-126,MQ210129,LIB-MarselisborgLT-259,,"","","",Marselisborg,2020-06-30,27,2020,Summer,"","","","","","",,,,,,,,,
MQ210129-127,MQ210129,LIB-MarselisborgLT-261,,"","","",Marselisborg,2020-07-21,30,2020,Summer,"","","","","","",,,,,,,,,
MQ210129-128,MQ210129,LIB-MarselisborgLT-263,,"","","",Marselisborg,2020-07-30,31,2020,Summer,"","","","","","",,,,,,,,,
MQ210129-129,MQ210129,LIB-MarselisborgLT-265,,"","","",Marselisborg,2020-08-20,34,2020,Summer,"","","","","","",,,,,,,,,
