Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ210618-58,MQ210618,LIB-Damhusaaen-LT-C-146,,"",Fall,C,AS,"",Damhusåen-C,2020-10-14,42,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-59,MQ210618,LIB-Damhusaaen-LT-C-148,,"",Fall,C,AS,"",Damhusåen-C,2020-10-23,43,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-60,MQ210618,LIB-Damhusaaen-LT-C-150,,"",Fall,C,AS,"",Damhusåen-C,2020-10-28,44,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-61,MQ210618,LIB-Damhusaaen-LT-C-152,,"",Fall,C,AS,"",Damhusåen-C,2020-11-04,45,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-62,MQ210618,LIB-Damhusaaen-LT-C-154,,"",Fall,C,AS,"",Damhusåen-C,2020-11-12,46,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-63,MQ210618,LIB-Damhusaaen-LT-C-156,,"",Fall,C,AS,"",Damhusåen-C,2020-11-18,47,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-64,MQ210618,LIB-Damhusaaen-LT-C-158,,"",Fall,C,AS,"",Damhusåen-C,2020-12-01,49,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-65,MQ210618,LIB-Damhusaaen-LT-C-160,,"",Fall,C,AS,"",Damhusåen-C,2020-12-10,50,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-66,MQ210618,LIB-Damhusaaen-LT-C-163,,"",Winter,C,AS,"",Damhusåen-C,2020-12-17,51,2020,,"","","","","","",,,,,,,,,,,"",,
MQ210618-67,MQ210618,LIB-Damhusaaen-LT-C-165,,"",Winter,C,AS,"",Damhusåen-C,2020-12-21,52,2020,,"","","","","","",,,,,,,,,,,"",,
