																																	
																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017														Ejby Mølle Renseanlæg																		
																																	
	Drifttimer Luftningstank 2: januar 2016																																
																																	
																																	
																																	
																																	
			LT-RO1.2			LT-RO2.2			LT-RO3.2				LT-RO4.2					LT-RO5.2		LT-RO6.2		LT-OM1.2		LT-OM2.2			LT-OM3.2			LT-OM4.2			
			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"				"Rotor
 Drifttimer"					"Rotor 
Drifttimer"		"Rotor 
Drifttimer"		Omrører Drifttimer		Omrører Drifttimer			Omrører Drifttimer			Omrører Drifttimer			
Dato			Total h	Døgn h		Total h	Døgn h		 Total h	Døgn h			Total h			Døgn h		 Total h	Døgn h	Total h	 Døgn h	Total h	Døgn h	Total h		Døgn h	Total h	Døgn h		Total h	Døgn h		
23 feb  tir			94075	7.0		91424	8.0		57379	2.0			57240			2.0		88239	6.0	88537	8.0	42248	4.0	51211		5.0	50624	4.0		51259	5.0		
24 feb  ons			94083	8.0		91432	8.0		57381	2.0			57243			3.0		88246	7.0	88544	7.0	42253	5.0	51217		6.0	50630	6.0		51265	6.0		
25 feb  tor			94090	7.0		91440	8.0		57384	3.0			57246			3.0		88253	7.0	88551	7.0	42260	7.0	51222		5.0	50636	6.0		51270	5.0		
26 feb  fre			94098	8.0		91448	8.0		57387	3.0			57249			3.0		88260	7.0	88558	7.0	42265	5.0	51229		7.0	50641	5.0		51277	7.0		
27 feb  lør			94105	7.0		91455	7.0		57389	2.0			57251			2.0		88266	6.0	88564	6.0	42272	7.0	51235		6.0	50645	4.0		51286	9.0		
28 feb  søn			94112	7.0		91462	7.0		57392	3.0			57253			2.0		88272	6.0	88571	7.0	42279	7.0	51241		6.0	50645	0.0		51299	13.0		
29 feb  man			94120	8.0		91470	8.0		57395	3.0			57256			3.0		88279	7.0	88578	7.0	42285	6.0	51247		6.0	50645	0.0		51311	12.0		
01 mar  tir			94127	7.0		91478	8.0		57398	3.0			57259			3.0		88286	7.0	88585	7.0	42289	4.0	51252		5.0	50645	0.0		51321	10.0		
02 mar  ons			94132	5.0		91483	5.0		57400	2.0			57261			2.0		88291	5.0	88589	4.0	42293	4.0	51256		4.0	50645	0.0		51328	7.0		
03 mar  tor			94143	11.0		91493	10.0		57407	7.0			57267			6.0		88301	10.0	88598	9.0	42297	4.0	51261		5.0	50645	0.0		51337	9.0		
04 mar  fre			94151	8.0		91502	9.0		57410	3.0			57271			4.0		88308	7.0	88607	9.0	42301	4.0	51267		6.0	50645	0.0		51347	10.0		
05 mar  lør			94157	6.0		91509	7.0		57412	2.0			57274			3.0		88312	4.0	88613	6.0	42303	2.0	51270		3.0	50645	0.0		51353	6.0		
06 mar  søn			94160	3.0		91512	3.0		57413	1.0			57275			1.0		88315	3.0	88616	3.0	42304	1.0	51272		2.0	50645	0.0		51356	3.0		
07 mar  man			94167	7.0		91519	7.0		57418	5.0			57280			5.0		88322	7.0	88623	7.0	42308	4.0	51275		3.0	50645	0.0		51363	7.0		
08 mar  tir			94175	8.0		91527	8.0		57421	3.0			57284			4.0		88329	7.0	88630	7.0	42312	4.0	51279		4.0	50645	0.0		51371	8.0		
09 mar  ons			94183	8.0		91534	7.0		57426	5.0			57289			5.0		88336	7.0	88638	8.0	42318	6.0	51285		6.0	50645	0.0		51383	12.0		
10 mar  tor			94190	7.0		91542	8.0		57431	5.0			57295			6.0		88343	7.0	88645	7.0	42324	6.0	51291		6.0	50645	0.0		51394	11.0		
11 mar  fre			94198	8.0		91550	8.0		57437	6.0			57300			5.0		88351	8.0	88653	8.0	42329	5.0	51296		5.0	50645	0.0		51405	11.0		
12 mar  lør			94205	7.0		91557	7.0		57441	4.0			57304			4.0		88357	6.0	88659	6.0	42336	7.0	51303		7.0	50645	0.0		51418	13.0		
13 mar  søn			94212	7.0		91564	7.0		57443	2.0			57307			3.0		88364	7.0	88666	7.0	42342	6.0	51309		6.0	50645	0.0		51431	13.0		
14 mar  man			94220	8.0		91571	7.0		57447	4.0			57310			3.0		88371	7.0	88673	7.0	42349	7.0	51314		5.0	50649	4.0		51438	7.0		
15 mar  tir			94228	8.0		91579	8.0		57450	3.0			57314			4.0		88378	7.0	88680	7.0	42354	5.0	51320		6.0	50655	6.0		51444	6.0		
16 mar  ons			94236	8.0		91587	8.0		57454	4.0			57318			4.0		88385	7.0	88688	8.0	42360	6.0	51326		6.0	50661	6.0		51450	6.0		
17 mar  tor			94244	8.0		91596	9.0		57459	5.0			57324			6.0		88393	8.0	88696	8.0	42366	6.0	51331		5.0	50666	5.0		51454	4.0		
18 mar  fre			94253	9.0		91604	8.0		57463	4.0			57327			3.0		88401	8.0	88703	7.0	42372	6.0	51336		5.0	50672	6.0		51460	6.0		
19 mar  lør			94261	8.0		91612	8.0		57466	3.0			57330			3.0		88408	7.0	88710	6.0	42377	5.0	51342		6.0	50678	6.0		51466	6.0		
20 mar  søn			94267	6.0		91619	7.0		57468	2.0			57333			3.0		88414	6.0	88716	6.0	42384	7.0	51349		7.0	50684	6.0		51473	7.0		
21 mar  man			94275	8.0		91626	7.0		57471	3.0			57335			2.0		88421	7.0	88723	7.0	42390	6.0	51355		6.0	50690	6.0		51478	5.0		
22 mar  tir			94282	7.0		91633	7.0		57474	3.0			57339			4.0		88428	7.0	88729	6.0	42397	7.0	51361		6.0	50697	7.0		51484	6.0		
23 mar  ons			94289	7.0		91640	7.0		57477	3.0			57342			3.0		88435	7.0	88735	6.0	42403	6.0	51367		6.0	50704	7.0		51491	7.0		
