																					
																					
																					
	Rapportperiode: 01-01-2016  -  01-05-2017							Ejby Mølle Renseanlæg													
																					
	Forklaringstankene 1 - 7 Flow: januar 2016																				
																					
																					
																					
																					
		Tilløb	Tilløb	FK 1	FK 2				FK 3	FK 4	FK 5	FK 6	FK 7	Total		Jern		Polymer	Humus	Elforbrug	
		"Forklaring
MF1"	"Forklaring
MF2"	Flow	Flow				Flow	Flow	Flow	Flow	Flow	flow forklaring		dosering forklaring		Dosering	Slam	"Forklarings
tanke"	
Dato		m³	m³	m³	m³				m³	m³	m³	m³	m³	m³		liter		"Kg
"	m³	kWh	
19 apr  tir		24100	24000	5750	6460				8310	7730	8150	6810	6690	48100		1316		3	1835	727	
20 apr  ons		23500	23300	7710	8680				10970	10120	7930	8920	8610	46800		1299		1	2429	682	
21 apr  tor		26700	22800	6080	7410				9290	8600	8960	7690	7380	49500		1296		1	2103	682	
22 apr  fre		21800	21400	5830	6130				7640	6760	6970	6000	5910	43200		1314		2	1842	617	
23 apr  lør		21300	20900	4910	5870				7350	6790	7180	6120	6010	42200		1314		1	1854	617	
24 apr  søn		22500	22100	5590	6230				7880	7040	7360	6240	6240	44600		1314		1	1872	689	
25 apr  man		32400	33000	7870	9170				11810	10340	10750	8950	8950	65400		1312		0	1883	935	
26 apr  tir		41100	41400	9370	11870				14780	13170	13130	11240	10810	82500		1317		0	1903	1069	
27 apr  ons		45000	45400	10170	12500				15680	14460	15050	12400	12050	90400		1313		0	1915	1137	
28 apr  tor		27200	27200	6070	7310				9270	8880	9300	7700	7360	54400		1318		1	1888	778	
29 apr  fre		49200	50600	12110	14540				17880	15700	15870	13290	12950	99800		1317		0	1797	1184	
30 apr  lør		44800	44800	9910	12810				15840	14290	14410	12240	11650	89600		1315		0	1752	1109	
01 maj  søn		29200	29400	6910	8150				10200	9410	9500	8170	7680	58600		1319		2	1671	808	
02 maj  man		28100	28500	9390	10630				13170	12140	12450	10490	10030	56600		1315		0	2257	755	
03 maj  tir		29000	29400	6540	7860				9880	9470	10080	8300	7780	58400		1318		0	1696	790	
04 maj  ons		25500	25700	6690	7290				8840	8150	8200	7000	6570	51200		1325		2	1718	841	
05 maj  tor		23700	25700	6520	6840				8510	8170	8560	6750	6270	49400		1319		1	1860	811	
06 maj  fre		24100	24200	5830	6770				8230	7820	8170	6800	6380	48300		1320		0	1779	804	
07 maj  lør		23000	23000	6230	6640				8020	7340	7350	6390	5930	46000		1319		0	1826	747	
08 maj  søn		22900	22900	5720	6390				7860	7480	7660	6480	6060	45800		1324		3	1858	775	
09 maj  man		24200	24100	5700	6600				8220	7910	8270	6860	6530	48300		1322		0	1876	738	
10 maj  tir		23900	24000	6450	6920				8190	7860	7120	6820	6400	47900		1240		0	1843	664	
11 maj  ons		23900	23800	5870	6650				8050	7780	7810	6850	6390	47700		1230		4	1872	641	
12 maj  tor		23000	23000	5530	6530				7980	7590	7530	6660	6130	46000		1233		1	1903	622	
13 maj  fre		23700	23700	5640	6690				8180	7780	7720	6820	6320	47400		1232		2	1893	666	
14 maj  lør		20800	20600	5720	5990				7320	6690	6370	5850	5420	41400		1236		3	1885	546	
15 maj  søn		21300	21100	4960	5940				7370	7040	7020	6210	5820	42400		1230		0	1883	616	
16 maj  man		20900	20500	5680	5990				7250	6680	6480	5800	5470	41400		1234		2	1887	593	
17 maj  tir		21800	21300	4710	5700				7370	7290	7710	6650	5750	43100		1232		0	1884	694	
18 maj  ons		22300	21600	5330	6180				7840	7280	7250	6350	5590	43900		1235		0	1876	687	
19 maj  tor		21700	21100	4810	5550				7410	7120	7830	6460	5580	42800		1238		0	1867	604	
20 maj  fre		20800	20300	4470	6000				7670	6990	6890	6080	5160	41100		1239		0	1875	589	
21 maj  lør		34400	34200	8010	9580				12250	11160	11300	9520	8800	68600		1235		0	1888	888	
22 maj  søn		29000	29200	7160	8110				10020	9480	9700	8150	7460	58200		1234		0	1908	815	
23 maj  man		40900	41300	9960	11750				14470	13220	13310	11200	10480	82200		1241		1	1908	1016	
24 maj  tir		23500	23500	5380	6480				8110	7880	8110	6830	6090	47000		1246		0	1842	669	
25 maj  ons		20400	20300	5530	5830				7240	6770	6580	5780	4860	40700		1243		1	1763	557	
