StartTime	Parameter	Origin	Value
2016-04-14	EM.Outlet.Flow.m3.h	Outlet	2065.79274670425
2016-04-15	EM.Outlet.Flow.m3.h	Outlet	2897.17814858351
2016-04-16	EM.Outlet.Flow.m3.h	Outlet	2291.65462586808
2016-04-17	EM.Outlet.Flow.m3.h	Outlet	1948.74990507346
2016-04-18	EM.Outlet.Flow.m3.h	Outlet	2032.93725237512
2016-04-19	EM.Outlet.Flow.m3.h	Outlet	2028.33599039994
2016-04-20	EM.Outlet.Flow.m3.h	Outlet	1899.56082427332
2016-04-21	EM.Outlet.Flow.m3.h	Outlet	1843.28062327401
2016-04-22	EM.Outlet.Flow.m3.h	Outlet	1769.42680798479
2016-04-23	EM.Outlet.Flow.m3.h	Outlet	1720.8546437806
2016-04-24	EM.Outlet.Flow.m3.h	Outlet	1798.55379191304
2016-04-25	EM.Outlet.Flow.m3.h	Outlet	1901.68017597735
2016-04-26	EM.Outlet.Flow.m3.h	Outlet	3554.92118202486
2016-04-27	EM.Outlet.Flow.m3.h	Outlet	3686.35117678958
2016-04-28	EM.Outlet.Flow.m3.h	Outlet	2267.90788551712
2016-04-29	EM.Outlet.Flow.m3.h	Outlet	3004.48211043894
2016-04-30	EM.Outlet.Flow.m3.h	Outlet	4001.85379253688
2016-05-01	EM.Outlet.Flow.m3.h	Outlet	2560.00533230306
2016-05-02	EM.Outlet.Flow.m3.h	Outlet	2206.31481578043
2016-05-03	EM.Outlet.Flow.m3.h	Outlet	2317.16322587271
2016-05-04	EM.Outlet.Flow.m3.h	Outlet	2078.16733968815
2016-05-05	EM.Outlet.Flow.m3.h	Outlet	1927.68596699385
2016-05-06	EM.Outlet.Flow.m3.h	Outlet	1942.28918743601
2016-05-07	EM.Outlet.Flow.m3.h	Outlet	1889.83299762814
2016-05-08	EM.Outlet.Flow.m3.h	Outlet	1878.84913111097
2016-05-09	EM.Outlet.Flow.m3.h	Outlet	1965.06035274661
2016-05-10	EM.Outlet.Flow.m3.h	Outlet	2010.11384706765
2016-05-11	EM.Outlet.Flow.m3.h	Outlet	1918.84803739224
2016-05-12	EM.Outlet.Flow.m3.h	Outlet	1920.66322263116
2016-05-13	EM.Outlet.Flow.m3.h	Outlet	1954.53040421915
2016-05-14	EM.Outlet.Flow.m3.h	Outlet	1713.83479192859
2016-05-15	EM.Outlet.Flow.m3.h	Outlet	1740.10862761612
2016-05-16	EM.Outlet.Flow.m3.h	Outlet	1685.97212745067
2016-05-17	EM.Outlet.Flow.m3.h	Outlet	1744.80038053256
2016-05-18	EM.Outlet.Flow.m3.h	Outlet	1793.32167000837
2016-05-19	EM.Outlet.Flow.m3.h	Outlet	1740.55896607222
2016-05-20	EM.Outlet.Flow.m3.h	Outlet	1689.15813094206
2016-05-21	EM.Outlet.Flow.m3.h	Outlet	1896.9378310633
2016-05-22	EM.Outlet.Flow.m3.h	Outlet	2609.9716786159
2016-05-23	EM.Outlet.Flow.m3.h	Outlet	3653.83013757501
2016-05-24	EM.Outlet.Flow.m3.h	Outlet	1995.07727311339
2016-05-25	EM.Outlet.Flow.m3.h	Outlet	1656.77893095038
2016-05-26	EM.Outlet.Flow.m3.h	Outlet	1629.46517165428
2016-05-27	EM.Outlet.Flow.m3.h	Outlet	1612.36043228906
2016-05-28	EM.Outlet.Flow.m3.h	Outlet	1511.44560464297
2016-05-29	EM.Outlet.Flow.m3.h	Outlet	1524.35320841019
2016-05-30	EM.Outlet.Flow.m3.h	Outlet	2566.60052818245
2016-05-31	EM.Outlet.Flow.m3.h	Outlet	1784.55154530727
2016-06-01	EM.Outlet.Flow.m3.h	Outlet	1622.16043704902
2016-06-02	EM.Outlet.Flow.m3.h	Outlet	1631.38879415073
2016-06-03	EM.Outlet.Flow.m3.h	Outlet	1624.68282141022
2016-06-04	EM.Outlet.Flow.m3.h	Outlet	1491.11325921888
2016-06-05	EM.Outlet.Flow.m3.h	Outlet	1495.95639369088
2016-06-06	EM.Outlet.Flow.m3.h	Outlet	1652.09510962097
2016-06-07	EM.Outlet.Flow.m3.h	Outlet	1532.12994952966
2016-06-08	EM.Outlet.Flow.m3.h	Outlet	1587.31379712951
2016-06-09	EM.Outlet.Flow.m3.h	Outlet	1556.82468047076
2016-06-10	EM.Outlet.Flow.m3.h	Outlet	1527.08044996027
2016-06-11	EM.Outlet.Flow.m3.h	Outlet	1410.93779595176
2016-06-12	EM.Outlet.Flow.m3.h	Outlet	1419.16197471658
2016-06-13	EM.Outlet.Flow.m3.h	Outlet	1733.63458931351
2016-06-14	EM.Outlet.Flow.m3.h	Outlet	1536.29689943247
2016-06-15	EM.Outlet.Flow.m3.h	Outlet	2024.50180052644
2016-06-16	EM.Outlet.Flow.m3.h	Outlet	2825.57051550067
2016-06-17	EM.Outlet.Flow.m3.h	Outlet	2021.29633344294
2016-06-18	EM.Outlet.Flow.m3.h	Outlet	1698.13861371596
2016-06-19	EM.Outlet.Flow.m3.h	Outlet	1383.21298573388
2016-06-20	EM.Outlet.Flow.m3.h	Outlet	2143.49212056897
2016-06-21	EM.Outlet.Flow.m3.h	Outlet	3820.19403709396
2016-06-22	EM.Outlet.Flow.m3.h	Outlet	1942.62929744205
2016-06-23	EM.Outlet.Flow.m3.h	Outlet	1536.64933098509
2016-06-24	EM.Outlet.Flow.m3.h	Outlet	1500.39090868991
2016-06-25	EM.Outlet.Flow.m3.h	Outlet	2241.99628041772
2016-06-26	EM.Outlet.Flow.m3.h	Outlet	2626.24706060331
2016-06-27	EM.Outlet.Flow.m3.h	Outlet	1956.08742608362
2016-06-28	EM.Outlet.Flow.m3.h	Outlet	1610.26119592037
2016-06-29	EM.Outlet.Flow.m3.h	Outlet	1927.55243878485
2016-06-30	EM.Outlet.Flow.m3.h	Outlet	1928.04623327328
2016-07-01	EM.Outlet.Flow.m3.h	Outlet	3327.91623414855
2016-07-02	EM.Outlet.Flow.m3.h	Outlet	3722.6168059659
2016-07-03	EM.Outlet.Flow.m3.h	Outlet	1966.6952126001
