Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181123-308,MQ181123,LIB-Ribe-LT-199,,Ribe-LT-199,"","",Ribe,2017-10-11,41,2017,Fall,Recirculation,"","","","","",,,,,,,58.4596958,13.45662958,
MQ181123-309,MQ181123,LIB-Ribe-LT-202,,Ribe-LT-202,"","",Ribe,2017-10-25,43,2017,Fall,Recirculation,"","","","","",,,,,,,47.2812689,13.94547994,
MQ181123-310,MQ181123,LIB-Ribe-LT-205,,Ribe-LT-205,"","",Ribe,2017-11-08,45,2017,Fall,Recirculation,"","","","","",,,,,,,41.72287083,8.817367432,
MQ181123-311,MQ181123,LIB-Ribe-LT-208,,Ribe-LT-208,"","",Ribe,2017-11-22,47,2017,Fall,Recirculation,"","","","","",,,,,,,23.62435462,9.79747628,
MQ181123-312,MQ181123,LIB-Ribe-LT-211,,Ribe-LT-211,"","",Ribe,2017-12-06,49,2017,Fall,Recirculation,"","","","","",,,,,,,58.42713615,12.92563695,
MQ181123-313,MQ181123,LIB-Ribe-LT-214,,Ribe-LT-214,"","",Ribe,2017-12-20,51,2017,Winter,Recirculation,"","","","","",,,,,,,57.55849109,11.08582575,
MQ181123-314,MQ181123,LIB-Ribe-LT-217,,Ribe-LT-217,"","",Ribe,2018-01-03,1,2018,Winter,Recirculation,"","","","","",,,,,,,50.64072748,13.94427588,
MQ181123-315,MQ181123,LIB-Ribe-LT-220,,Ribe-LT-220,"","",Ribe,2018-01-17,3,2018,Winter,Recirculation,"","","","","",,,,,,,35.70398623,17.15792516,
MQ181123-316,MQ181123,LIB-Ribe-LT-223,,Ribe-LT-223,"","",Ribe,2018-01-31,5,2018,Winter,Recirculation,"","","","","",,,,,,,26.01283781,14.4307181,
MQ181123-317,MQ181123,LIB-Ribe-LT-226,,Ribe-LT-226,"","",Ribe,2018-02-14,7,2018,Winter,Recirculation,"","","","","",,,,,,,11.70403275,12.30072726,
MQ181123-318,MQ181123,LIB-Ribe-LT-229,,Ribe-LT-229,"","",Ribe,2018-02-28,9,2018,Winter,Recirculation,"","","","","",,,,,,,14.45067212,7.571160237,
MQ181123-319,MQ181123,LIB-Ribe-LT-232,,Ribe-LT-232,"","",Ribe,2018-03-14,11,2018,Winter,Recirculation,"","","","","",,,,,,,36.035397,8.664451187,
MQ181123-320,MQ181123,LIB-Ribe-LT-235,,Ribe-LT-235,"","",Ribe,2018-03-28,13,2018,Spring,Recirculation,"","","","","",,,,,,,27.03381553,11.31941434,
MQ181123-321,MQ181123,LIB-Ribe-LT-238,,Ribe-LT-238,"","",Ribe,2018-04-11,15,2018,Spring,Recirculation,"","","","","",,,,,,,23.71505651,9.105138949,
MQ181123-322,MQ181123,LIB-Ribe-LT-241,,Ribe-LT-241,"","",Ribe,2018-04-25,17,2018,Spring,Recirculation,"","","","","",,,,,,,13.11572631,22.58584983,
MQ181123-323,MQ181123,LIB-Ribe-LT-244,,Ribe-LT-244,"","",Ribe,2018-05-09,19,2018,Spring,Recirculation,"","","","","",,,,,,,18.2903856,19.49260704,
MQ181123-324,MQ181123,LIB-Ribe-LT-247,,Ribe-LT-247,"","",Ribe,2018-05-23,21,2018,Spring,Recirculation,"","","","","",,,,,,,21.8893902,15.95867649,
MQ181123-325,MQ181123,LIB-Ribe-LT-250,,Ribe-LT-250,"","",Ribe,2018-06-06,23,2018,Spring,Recirculation,"","","","","",,,,,,,25.00930276,14.57640996,
MQ181123-326,MQ181123,LIB-Ribe-LT-253,,Ribe-LT-253,"","",Ribe,2018-06-20,25,2018,Summer,Recirculation,"","","","","",,,,,,,26.12912228,9.451909647,
MQ181123-327,MQ181123,LIB-Ribe-LT-256,,Ribe-LT-256,"","",Ribe,2018-07-04,27,2018,Summer,Recirculation,"","","","","",,,,,,,48.22317317,9.378461687,
MQ181123-328,MQ181123,LIB-Ribe-LT-259,,Ribe-LT-259,"","",Ribe,2018-07-18,29,2018,Summer,Recirculation,"","","","","",,,,,,,23.90925159,14.02976448,
MQ181123-329,MQ181123,LIB-Ribe-LT-262,,Ribe-LT-262,"","",Ribe,2018-08-01,31,2018,Summer,Recirculation,"","","","","",,,,,,,29.3467138,10.79082984,
MQ181123-330,MQ181123,LIB-Ribe-LT-265,,Ribe-LT-265,"","",Ribe,2018-08-15,33,2018,Summer,Recirculation,"","","","","",,,,,,,23.97204521,14.51861484,
MQ181123-331,MQ181123,LIB-Ribe-LT-268,,Ribe-LT-268,"","",Ribe,2018-08-29,35,2018,Summer,Recirculation,"","","","","",,,,,,,65.14721615,15.96590088,
MQ201110-226,MQ201110,LIB-Ribe-271,,"","","",Ribe,2018-09-12,37,2018,Summer,"","","","","","",,,,,,,,,
MQ201110-227,MQ201110,LIB-Ribe-274,,"","","",Ribe,2018-09-26,39,2018,Fall,"","","","","","",,,,,,,,,
MQ201110-228,MQ201110,LIB-Ribe-277,,"","","",Ribe,2018-10-10,41,2018,Fall,"","","","","","",,,,,,,,,
