Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ181221-252,MQ181221,LIB-Aalborg-Vest-LT-400,,,pre-S::Select,,Aalborg W,2017-03-29,2017,,,,,,,,,,,,,,,
MQ181221-253,MQ181221,LIB-Aalborg-Vest-LT-403,,,pre-S::Select,,Aalborg W,2017-04-03,2017,,,,,,,,,,,,,,,
MQ181221-254,MQ181221,LIB-Aalborg-Vest-LT-406,,,pre-S::Select,,Aalborg W,2017-04-11,2017,,,,,,,,,,,,,,,
MQ181221-255,MQ181221,LIB-Aalborg-Vest-LT-409,,,pre-S::Select,,Aalborg W,2017-04-18,2017,,,,,,,,,,,,,,,
MQ181221-256,MQ181221,LIB-Aalborg-Vest-LT-412,,,pre-S::Select,,Aalborg W,2017-04-28,2017,,,,,,,,,,,,,,,
MQ181221-257,MQ181221,LIB-Aalborg-Vest-LT-415,,,pre-S::Select,,Aalborg W,2017-05-04,2017,,,,,,,,,,,,,,,
MQ181221-258,MQ181221,LIB-Aalborg-Vest-LT-418,,,pre-S::Select,,Aalborg W,2017-05-10,2017,,,,,,,,,,,,,,,
MQ181221-260,MQ181221,LIB-Aalborg-Vest-LT-424,,,pre-S::Select,,Aalborg W,2017-05-24,2017,,,,,,,,,,,,,,,
MQ181221-261,MQ181221,LIB-Aalborg-Vest-LT-427,,,pre-S::Select,,Aalborg W,2017-05-31,2017,,,,,,,,,,,,,,,
MQ181221-262,MQ181221,LIB-Aalborg-Vest-LT-430,,,pre-S::Select,,Aalborg W,2017-06-06,2017,,,,,,,,,,,,,,,
MQ181221-263,MQ181221,LIB-Aalborg-Vest-LT-433,,,pre-S::Select,,Aalborg W,2017-06-14,2017,,,,,,,,,,,,,,,
MQ181221-264,MQ181221,LIB-Aalborg-Vest-LT-436,,,pre-S::Select,,Aalborg W,2017-06-21,2017,,,,,,,,,,,,,,,
MQ181221-265,MQ181221,LIB-Aalborg-Vest-LT-439,,,pre-S::Select,,Aalborg W,2017-06-28,2017,,,,,,,,,,,,,,,
MQ181221-266,MQ181221,LIB-Aalborg-Vest-LT-442,,,pre-S::Select,,Aalborg W,2017-07-05,2017,,,,,,,,,,,,,,,
MQ181221-267,MQ181221,LIB-Aalborg-Vest-LT-445,,,pre-S::Select,,Aalborg W,2017-07-11,2017,,,,,,,,,,,,,,,
MQ181221-268,MQ181221,LIB-Aalborg-Vest-LT-448,,,pre-S::Select,,Aalborg W,2017-07-26,2017,,,,,,,,,,,,,,,
MQ181221-269,MQ181221,LIB-Aalborg-Vest-LT-451,,,pre-S::Select,,Aalborg W,2017-08-01,2017,,,,,,,,,,,,,,,
MQ181221-270,MQ181221,LIB-Aalborg-Vest-LT-454,,,pre-S::Select,,Aalborg W,2017-08-09,2017,,,,,,,,,,,,,,,
MQ181221-271,MQ181221,LIB-Aalborg-Vest-LT-457,,,pre-S::Select,,Aalborg W,2017-08-17,2017,,,,,,,,,,,,,,,
MQ181221-272,MQ181221,LIB-Aalborg-Vest-LT-460,,,pre-S::Select,,Aalborg W,2017-08-24,2017,,,,,,,,,,,,,,,
MQ181221-273,MQ181221,LIB-Aalborg-Vest-LT-463,,,pre-S::Select,,Aalborg W,2017-08-30,2017,,,,,,,,,,,,,,,
MQ181221-274,MQ181221,LIB-Aalborg-Vest-LT-466,,,pre-S::Select,,Aalborg W,2017-09-07,2017,,,,,,,,,,,,,,,
MQ181221-275,MQ181221,LIB-Aalborg-Vest-LT-469,,,pre-S::Select,,Aalborg W,2017-09-13,2017,,,,,,,,,,,,,,,
MQ181221-276,MQ181221,LIB-Aalborg-Vest-LT-472,,,pre-S::Select,,Aalborg W,2017-09-21,2017,,,,,,,,,,,,,,,
MQ181221-277,MQ181221,LIB-Aalborg-Vest-LT-475,,,pre-S::Select,,Aalborg W,2017-09-27,2017,,,,,,,,,,,,,,,
MQ190702-88,MQ190702,LIB-Aalborg-W-LT-478,80593.0,,pre-S::Select,,Aalborg W,2017-10-11,2017,,,,,,,,,,,,,,,
MQ190702-89,MQ190702,LIB-Aalborg-W-LT-481,74774.0,,pre-S::Select,,Aalborg W,2017-10-17,2017,,,,,,,,,,,,,,,
MQ190702-90,MQ190702,LIB-Aalborg-W-LT-484,53902.0,,pre-S::Select,,Aalborg W,2017-10-24,2017,,,,,,,,,,,,,,,
MQ190702-91,MQ190702,LIB-Aalborg-W-LT-487,62287.0,,pre-S::Select,,Aalborg W,2017-11-01,2017,,,,,,,,,,,,,,,
MQ190702-92,MQ190702,LIB-Aalborg-W-LT-490,65342.0,,pre-S::Select,,Aalborg W,2017-11-09,2017,,,,,,,,,,,,,,,
MQ190702-93,MQ190702,LIB-Aalborg-W-LT-493,72875.0,,pre-S::Select,,Aalborg W,2017-11-15,2017,,,,,,,,,,,,,,,
MQ190702-94,MQ190702,LIB-Aalborg-W-LT-496,63043.0,,pre-S::Select,,Aalborg W,2017-11-23,2017,,,,,,,,,,,,,,,
MQ190702-95,MQ190702,LIB-Aalborg-W-LT-499,67699.0,,pre-S::Select,,Aalborg W,2017-11-28,2017,,,,,,,,,,,,,,,
MQ190702-96,MQ190702,LIB-Aalborg-W-LT-502,43598.0,,pre-S::Select,,Aalborg W,2017-12-07,2017,,,,,,,,,,,,,,,
